id_compra,fecha,id_proveedor,proveedor,id_almacen,almacen,id_producto,producto,cantidad,precio_compra,monto
45,2023-04-01,2,Prov Repuestos,1,SURCO,42,"LLANTAS 18""",10,36,360
46,2023-04-01,2,Prov Repuestos,2,LA MOLINA,43,BATERÍA DE 18 PLACAS,25,94,2350
47,2023-04-15,1,Prov Vehículos,2,LA MOLINA,6,AUTO HONDA FIT 2016,8,19500,156000
48,2023-04-15,2,Prov Repuestos,1,SURCO,42,"LLANTAS 18""",20,36,720
49,2023-04-15,2,Prov Repuestos,1,SURCO,43,BATERÍA DE 18 PLACAS,14,94,1316
50,2023-05-01,1,Prov Vehículos,2,LA MOLINA,2,AUTO HONDA CIVIC 2014,1,15500,15500
51,2023-05-01,1,Prov Vehículos,2,LA MOLINA,6,AUTO HONDA FIT 2016,3,19500,58500
52,2023-05-01,1,Prov Vehículos,2,LA MOLINA,10,CAMIONETA HONDA CR-Z 2015,1,25000,25000
53,2023-05-01,2,Prov Repuestos,2,LA MOLINA,38,ACEITE DE MOTOR 5W30 FULL SINTÉTICO,57,105,5985
54,2023-05-01,2,Prov Repuestos,1,SURCO,42,"LLANTAS 18""",7,68,476
55,2023-05-01,2,Prov Repuestos,1,SURCO,43,BATERÍA DE 18 PLACAS,8,93,744
56,2023-05-15,2,Prov Repuestos,2,LA MOLINA,42,"LLANTAS 18""",37,68,2516
57,2023-05-15,2,Prov Repuestos,1,SURCO,43,BATERÍA DE 18 PLACAS,12,93,1116
58,2023-06-01,2,Prov Repuestos,2,LA MOLINA,42,"LLANTAS 18""",46,64,2944
59,2023-06-01,2,Prov Repuestos,1,SURCO,43,BATERÍA DE 18 PLACAS,38,83,3154
60,2023-06-15,2,Prov Repuestos,2,LA MOLINA,43,BATERÍA DE 18 PLACAS,40,83,3320
61,2023-07-01,2,Prov Repuestos,1,SURCO,39,FILTRO DE COMBUSTIBLE,10,101,1010
62,2023-07-01,2,Prov Repuestos,2,LA MOLINA,42,"LLANTAS 18""",154,60,9240
63,2023-07-01,2,Prov Repuestos,1,SURCO,43,BATERÍA DE 18 PLACAS,35,102,3570
64,2023-07-15,1,Prov Vehículos,2,LA MOLINA,6,AUTO HONDA FIT 2016,3,19800,59400
65,2023-07-15,2,Prov Repuestos,2,LA MOLINA,43,BATERÍA DE 18 PLACAS,30,102,3060
66,2023-08-01,1,Prov Vehículos,2,LA MOLINA,4,AUTO HONDA CRV 2014,1,18000,18000
67,2023-08-01,1,Prov Vehículos,2,LA MOLINA,10,CAMIONETA HONDA CR-Z 2015,2,25200,50400
68,2023-08-01,2,Prov Repuestos,1,SURCO,42,"LLANTAS 18""",35,48,1680
69,2023-08-15,1,Prov Vehículos,2,LA MOLINA,6,AUTO HONDA FIT 2016,1,19800,19800
70,2023-08-15,1,Prov Vehículos,2,LA MOLINA,10,CAMIONETA HONDA CR-Z 2015,3,25200,75600
71,2023-08-15,2,Prov Repuestos,1,SURCO,42,"LLANTAS 18""",14,48,672
72,2023-08-15,2,Prov Repuestos,1,SURCO,43,BATERÍA DE 18 PLACAS,24,86,2064
73,2023-09-01,1,Prov Vehículos,2,LA MOLINA,2,AUTO HONDA CIVIC 2014,3,12000,36000
74,2023-09-01,1,Prov Vehículos,2,LA MOLINA,4,AUTO HONDA CRV 2014,1,15000,15000
75,2023-09-01,1,Prov Vehículos,2,LA MOLINA,10,CAMIONETA HONDA CR-Z 2015,1,21000,21000
76,2023-09-01,1,Prov Vehículos,2,LA MOLINA,11,CAMIONETA HONDA RID LINE PICK UP 2014,2,28000,56000
77,2023-09-01,2,Prov Repuestos,2,LA MOLINA,38,ACEITE DE MOTOR 5W30 FULL SINTÉTICO,130,112,14560
78,2023-09-01,2,Prov Repuestos,2,LA MOLINA,40,AMORTIGUADORES DELANTEROS,124,217,26908
79,2023-09-01,2,Prov Repuestos,2,LA MOLINA,41,AMORTIGUADORES POSTERIORES,118,106,12508
80,2023-09-01,2,Prov Repuestos,2,LA MOLINA,42,"LLANTAS 18""",71,69,4899
81,2023-09-15,2,Prov Repuestos,1,SURCO,38,ACEITE DE MOTOR 5W30 FULL SINTÉTICO,28,112,3136
82,2023-09-15,2,Prov Repuestos,1,SURCO,39,FILTRO DE COMBUSTIBLE,1,93,93
83,2023-09-15,2,Prov Repuestos,1,SURCO,43,BATERÍA DE 18 PLACAS,12,62,744
84,2023-10-01,2,Prov Repuestos,1,SURCO,39,FILTRO DE COMBUSTIBLE,1,118,118
85,2023-10-15,2,Prov Repuestos,1,SURCO,39,FILTRO DE COMBUSTIBLE,5,118,590
86,2023-11-01,2,Prov Repuestos,1,SURCO,39,FILTRO DE COMBUSTIBLE,10,118,1180
87,2023-11-01,2,Prov Repuestos,2,LA MOLINA,40,AMORTIGUADORES DELANTEROS,56,226,12656
88,2023-11-01,2,Prov Repuestos,2,LA MOLINA,43,BATERÍA DE 18 PLACAS,79,79,6241
89,2023-11-15,1,Prov Vehículos,2,LA MOLINA,4,AUTO HONDA CRV 2014,3,21600,64800
90,2023-11-15,1,Prov Vehículos,2,LA MOLINA,6,AUTO HONDA FIT 2016,3,21600,64800
91,2023-11-15,1,Prov Vehículos,2,LA MOLINA,10,CAMIONETA HONDA CR-Z 2015,2,34800,69600
92,2023-11-15,1,Prov Vehículos,2,LA MOLINA,11,CAMIONETA HONDA RID LINE PICK UP 2014,3,22800,68400
93,2023-12-01,1,Prov Vehículos,2,LA MOLINA,1,AUTO HONDA ACCORD 2014,1,19500,19500
94,2023-12-01,1,Prov Vehículos,2,LA MOLINA,3,AUTO HONDA ODISSEY 2013,3,22750,68250
95,2023-12-01,1,Prov Vehículos,2,LA MOLINA,4,AUTO HONDA CRV 2014,2,23400,46800
96,2023-12-01,1,Prov Vehículos,2,LA MOLINA,7,AUTO HONDA CITY 2016,4,22750,91000
97,2023-12-01,1,Prov Vehículos,2,LA MOLINA,8,CAMIONETA HONDA ELEMENT 2013,2,31200,62400
98,2023-12-01,1,Prov Vehículos,2,LA MOLINA,9,CAMIONETA HONDA CROSSTOUR 2013,1,30550,30550
99,2023-12-01,1,Prov Vehículos,2,LA MOLINA,10,CAMIONETA HONDA CR-Z 2015,2,37700,75400
100,2023-12-01,1,Prov Vehículos,2,LA MOLINA,11,CAMIONETA HONDA RID LINE PICK UP 2014,3,24700,74100
101,2023-12-01,2,Prov Repuestos,1,SURCO,43,BATERÍA DE 18 PLACAS,60,102,6120
102,2023-12-15,1,Prov Vehículos,1,SURCO,2,AUTO HONDA CIVIC 2014,2,21450,42900
103,2023-12-15,1,Prov Vehículos,1,SURCO,5,AUTO HONDA PILOT 2013,3,26650,79950
104,2023-12-15,1,Prov Vehículos,1,SURCO,6,AUTO HONDA FIT 2016,4,23400,93600
105,2023-12-15,1,Prov Vehículos,1,SURCO,8,CAMIONETA HONDA ELEMENT 2013,4,31200,124800
106,2023-12-15,1,Prov Vehículos,1,SURCO,10,CAMIONETA HONDA CR-Z 2015,3,37700,113100
107,2023-12-15,2,Prov Repuestos,2,LA MOLINA,40,AMORTIGUADORES DELANTEROS,124,227,28148
108,2023-12-15,2,Prov Repuestos,1,SURCO,43,BATERÍA DE 18 PLACAS,19,102,1938
109,2024-01-01,1,Prov Vehículos,1,SURCO,1,AUTO HONDA ACCORD 2014,2,21450,42900
110,2024-01-01,1,Prov Vehículos,1,SURCO,2,AUTO HONDA CIVIC 2014,2,21450,42900
111,2024-01-01,1,Prov Vehículos,1,SURCO,4,AUTO HONDA CRV 2014,8,23400,187200
112,2024-01-01,1,Prov Vehículos,1,SURCO,5,AUTO HONDA PILOT 2013,5,26650,133250
113,2024-01-01,1,Prov Vehículos,1,SURCO,6,AUTO HONDA FIT 2016,6,23400,140400
114,2024-01-01,1,Prov Vehículos,1,SURCO,9,CAMIONETA HONDA CROSSTOUR 2013,2,30550,61100
115,2024-01-01,1,Prov Vehículos,1,SURCO,10,CAMIONETA HONDA CR-Z 2015,1,31850,31850
116,2024-01-01,2,Prov Repuestos,1,SURCO,39,FILTRO DE COMBUSTIBLE,18,110,1980
117,2024-01-01,2,Prov Repuestos,1,SURCO,40,AMORTIGUADORES DELANTEROS,7,257,1799
118,2024-01-01,2,Prov Repuestos,1,SURCO,43,BATERÍA DE 18 PLACAS,3,93,279
119,2024-01-15,2,Prov Repuestos,1,SURCO,43,BATERÍA DE 18 PLACAS,14,93,1302
120,2024-02-01,1,Prov Vehículos,2,LA MOLINA,1,AUTO HONDA ACCORD 2014,1,16500,16500
121,2024-02-01,1,Prov Vehículos,2,LA MOLINA,2,AUTO HONDA CIVIC 2014,3,16000,48000
122,2024-02-01,1,Prov Vehículos,2,LA MOLINA,3,AUTO HONDA ODISSEY 2013,1,17500,17500
123,2024-02-01,1,Prov Vehículos,2,LA MOLINA,4,AUTO HONDA CRV 2014,1,18000,18000
124,2024-02-01,1,Prov Vehículos,2,LA MOLINA,5,AUTO HONDA PILOT 2013,1,20000,20000
125,2024-02-01,1,Prov Vehículos,2,LA MOLINA,7,AUTO HONDA CITY 2016,1,20500,20500
126,2024-02-01,1,Prov Vehículos,2,LA MOLINA,9,CAMIONETA HONDA CROSSTOUR 2013,1,25500,25500
127,2024-02-01,1,Prov Vehículos,2,LA MOLINA,10,CAMIONETA HONDA CR-Z 2015,1,24500,24500
128,2024-02-01,1,Prov Vehículos,2,LA MOLINA,11,CAMIONETA HONDA RID LINE PICK UP 2014,1,19000,19000
129,2024-02-01,2,Prov Repuestos,1,SURCO,40,AMORTIGUADORES DELANTEROS,11,212,2332
130,2024-02-01,2,Prov Repuestos,1,SURCO,43,BATERÍA DE 18 PLACAS,19,95,1805
131,2024-02-15,1,Prov Vehículos,2,LA MOLINA,1,AUTO HONDA ACCORD 2014,6,16500,99000
132,2024-02-15,1,Prov Vehículos,2,LA MOLINA,3,AUTO HONDA ODISSEY 2013,3,17500,52500
133,2024-02-15,1,Prov Vehículos,2,LA MOLINA,5,AUTO HONDA PILOT 2013,1,20000,20000
134,2024-02-15,1,Prov Vehículos,2,LA MOLINA,7,AUTO HONDA CITY 2016,3,20500,61500
135,2024-02-15,1,Prov Vehículos,2,LA MOLINA,8,CAMIONETA HONDA ELEMENT 2013,2,24000,48000
136,2024-02-15,1,Prov Vehículos,2,LA MOLINA,9,CAMIONETA HONDA CROSSTOUR 2013,2,25500,51000
137,2024-02-15,1,Prov Vehículos,2,LA MOLINA,11,CAMIONETA HONDA RID LINE PICK UP 2014,2,19000,38000
138,2024-02-15,2,Prov Repuestos,2,LA MOLINA,38,ACEITE DE MOTOR 5W30 FULL SINTÉTICO,118,110,12980
139,2024-02-15,2,Prov Repuestos,2,LA MOLINA,40,AMORTIGUADORES DELANTEROS,45,212,9540
140,2024-02-15,2,Prov Repuestos,2,LA MOLINA,43,BATERÍA DE 18 PLACAS,37,95,3515
141,2024-03-01,1,Prov Vehículos,2,LA MOLINA,4,AUTO HONDA CRV 2014,1,18000,18000
142,2024-03-01,1,Prov Vehículos,2,LA MOLINA,5,AUTO HONDA PILOT 2013,1,20000,20000
143,2024-03-01,1,Prov Vehículos,2,LA MOLINA,8,CAMIONETA HONDA ELEMENT 2013,2,23500,47000
144,2024-03-01,1,Prov Vehículos,2,LA MOLINA,9,CAMIONETA HONDA CROSSTOUR 2013,2,25500,51000
145,2024-03-01,1,Prov Vehículos,2,LA MOLINA,10,CAMIONETA HONDA CR-Z 2015,1,24500,24500
146,2024-03-01,1,Prov Vehículos,2,LA MOLINA,11,CAMIONETA HONDA RID LINE PICK UP 2014,1,24000,24000
147,2024-03-01,2,Prov Repuestos,1,SURCO,42,"LLANTAS 18""",39,66,2574
148,2024-03-01,2,Prov Repuestos,1,SURCO,43,BATERÍA DE 18 PLACAS,6,77,462
149,2024-03-15,1,Prov Vehículos,1,SURCO,1,AUTO HONDA ACCORD 2014,1,16500,16500
150,2024-03-15,1,Prov Vehículos,1,SURCO,2,AUTO HONDA CIVIC 2014,1,16000,16000
151,2024-03-15,1,Prov Vehículos,1,SURCO,4,AUTO HONDA CRV 2014,1,18000,18000
152,2024-03-15,1,Prov Vehículos,1,SURCO,7,AUTO HONDA CITY 2016,1,20500,20500
153,2024-03-15,2,Prov Repuestos,1,SURCO,38,ACEITE DE MOTOR 5W30 FULL SINTÉTICO,42,86,3612
154,2024-03-15,2,Prov Repuestos,1,SURCO,39,FILTRO DE COMBUSTIBLE,2,98,196
155,2024-03-15,2,Prov Repuestos,1,SURCO,43,BATERÍA DE 18 PLACAS,41,77,3157
156,2024-04-01,1,Prov Vehículos,1,SURCO,2,AUTO HONDA CIVIC 2014,4,16000,64000
157,2024-04-01,1,Prov Vehículos,1,SURCO,4,AUTO HONDA CRV 2014,2,18000,36000
158,2024-04-01,1,Prov Vehículos,1,SURCO,5,AUTO HONDA PILOT 2013,2,15000,30000
159,2024-04-01,1,Prov Vehículos,1,SURCO,6,AUTO HONDA FIT 2016,1,19000,19000
160,2024-04-01,1,Prov Vehículos,1,SURCO,8,CAMIONETA HONDA ELEMENT 2013,1,23500,23500
161,2024-04-01,1,Prov Vehículos,1,SURCO,9,CAMIONETA HONDA CROSSTOUR 2013,1,19000,19000
162,2024-04-01,1,Prov Vehículos,1,SURCO,10,CAMIONETA HONDA CR-Z 2015,2,24500,49000
163,2024-04-01,1,Prov Vehículos,1,SURCO,11,CAMIONETA HONDA RID LINE PICK UP 2014,1,24000,24000
164,2024-04-01,2,Prov Repuestos,2,LA MOLINA,38,ACEITE DE MOTOR 5W30 FULL SINTÉTICO,10,106,1060
165,2024-04-01,2,Prov Repuestos,2,LA MOLINA,40,AMORTIGUADORES DELANTEROS,101,238,24038
166,2024-04-01,2,Prov Repuestos,2,LA MOLINA,42,"LLANTAS 18""",81,69,5589
167,2024-04-15,1,Prov Vehículos,1,SURCO,2,AUTO HONDA CIVIC 2014,1,16000,16000
168,2024-04-15,1,Prov Vehículos,1,SURCO,3,AUTO HONDA ODISSEY 2013,1,17500,17500
169,2024-04-15,1,Prov Vehículos,1,SURCO,5,AUTO HONDA PILOT 2013,1,15000,15000
170,2024-04-15,1,Prov Vehículos,1,SURCO,7,AUTO HONDA CITY 2016,2,20500,41000
171,2024-04-15,1,Prov Vehículos,1,SURCO,8,CAMIONETA HONDA ELEMENT 2013,2,23500,47000
172,2024-04-15,1,Prov Vehículos,1,SURCO,9,CAMIONETA HONDA CROSSTOUR 2013,1,19000,19000
173,2024-04-15,1,Prov Vehículos,1,SURCO,11,CAMIONETA HONDA RID LINE PICK UP 2014,1,24000,24000
174,2024-04-15,2,Prov Repuestos,2,LA MOLINA,39,FILTRO DE COMBUSTIBLE,3,106,318
175,2024-05-01,2,Prov Repuestos,2,LA MOLINA,38,ACEITE DE MOTOR 5W30 FULL SINTÉTICO,69,118,8142
176,2024-05-01,2,Prov Repuestos,2,LA MOLINA,40,AMORTIGUADORES DELANTEROS,60,211,12660
177,2024-05-01,2,Prov Repuestos,1,SURCO,43,BATERÍA DE 18 PLACAS,3,86,258
178,2024-05-15,2,Prov Repuestos,1,SURCO,43,BATERÍA DE 18 PLACAS,29,86,2494
179,2024-06-01,2,Prov Repuestos,1,SURCO,43,BATERÍA DE 18 PLACAS,6,99,594
180,2024-06-15,1,Prov Vehículos,2,LA MOLINA,1,AUTO HONDA ACCORD 2014,2,14500,29000
181,2024-06-15,1,Prov Vehículos,2,LA MOLINA,3,AUTO HONDA ODISSEY 2013,5,17500,87500
182,2024-06-15,1,Prov Vehículos,2,LA MOLINA,4,AUTO HONDA CRV 2014,3,18500,55500
183,2024-06-15,1,Prov Vehículos,2,LA MOLINA,6,AUTO HONDA FIT 2016,1,16000,16000
184,2024-06-15,1,Prov Vehículos,2,LA MOLINA,8,CAMIONETA HONDA ELEMENT 2013,3,30000,90000
185,2024-06-15,1,Prov Vehículos,2,LA MOLINA,9,CAMIONETA HONDA CROSSTOUR 2013,1,19000,19000
186,2024-06-15,1,Prov Vehículos,2,LA MOLINA,10,CAMIONETA HONDA CR-Z 2015,2,26000,52000
187,2024-06-15,1,Prov Vehículos,2,LA MOLINA,11,CAMIONETA HONDA RID LINE PICK UP 2014,3,29000,87000
188,2024-06-15,2,Prov Repuestos,1,SURCO,39,FILTRO DE COMBUSTIBLE,11,106,1166
189,2024-06-15,2,Prov Repuestos,2,LA MOLINA,40,AMORTIGUADORES DELANTEROS,57,227,12939
190,2024-06-15,2,Prov Repuestos,2,LA MOLINA,41,AMORTIGUADORES POSTERIORES,102,109,11118
191,2024-06-15,2,Prov Repuestos,1,SURCO,43,BATERÍA DE 18 PLACAS,9,99,891
192,2024-07-01,1,Prov Vehículos,1,SURCO,1,AUTO HONDA ACCORD 2014,4,24600,98400
193,2024-07-01,1,Prov Vehículos,1,SURCO,2,AUTO HONDA CIVIC 2014,3,22800,68400
194,2024-07-01,1,Prov Vehículos,1,SURCO,3,AUTO HONDA ODISSEY 2013,5,18600,93000
195,2024-07-01,1,Prov Vehículos,2,LA MOLINA,4,AUTO HONDA CRV 2014,8,22200,177600
196,2024-07-01,1,Prov Vehículos,1,SURCO,5,AUTO HONDA PILOT 2013,3,19200,57600
197,2024-07-01,1,Prov Vehículos,1,SURCO,6,AUTO HONDA FIT 2016,1,19200,19200
198,2024-07-01,1,Prov Vehículos,1,SURCO,8,CAMIONETA HONDA ELEMENT 2013,4,36000,144000
199,2024-07-01,1,Prov Vehículos,1,SURCO,9,CAMIONETA HONDA CROSSTOUR 2013,5,22800,114000
200,2024-07-01,1,Prov Vehículos,2,LA MOLINA,10,CAMIONETA HONDA CR-Z 2015,6,31200,187200
201,2024-07-01,1,Prov Vehículos,1,SURCO,11,CAMIONETA HONDA RID LINE PICK UP 2014,2,34800,69600
202,2024-07-01,2,Prov Repuestos,2,LA MOLINA,43,BATERÍA DE 18 PLACAS,35,87,3045
203,2024-07-15,1,Prov Vehículos,1,SURCO,2,AUTO HONDA CIVIC 2014,7,22800,159600
204,2024-07-15,1,Prov Vehículos,1,SURCO,3,AUTO HONDA ODISSEY 2013,5,18600,93000
205,2024-07-15,1,Prov Vehículos,1,SURCO,4,AUTO HONDA CRV 2014,6,22200,133200
206,2024-07-15,1,Prov Vehículos,1,SURCO,5,AUTO HONDA PILOT 2013,6,19200,115200
207,2024-07-15,1,Prov Vehículos,1,SURCO,6,AUTO HONDA FIT 2016,3,19200,57600
208,2024-07-15,1,Prov Vehículos,1,SURCO,7,AUTO HONDA CITY 2016,7,20400,142800
209,2024-07-15,1,Prov Vehículos,1,SURCO,8,CAMIONETA HONDA ELEMENT 2013,2,36000,72000
210,2024-07-15,1,Prov Vehículos,1,SURCO,9,CAMIONETA HONDA CROSSTOUR 2013,1,22800,22800
211,2024-07-15,1,Prov Vehículos,1,SURCO,10,CAMIONETA HONDA CR-Z 2015,3,31200,93600
212,2024-07-15,2,Prov Repuestos,2,LA MOLINA,40,AMORTIGUADORES DELANTEROS,59,229,13511
213,2024-08-01,2,Prov Repuestos,2,LA MOLINA,40,AMORTIGUADORES DELANTEROS,57,197,11229
214,2024-08-01,2,Prov Repuestos,2,LA MOLINA,42,"LLANTAS 18""",107,55,5885
215,2024-08-01,2,Prov Repuestos,1,SURCO,43,BATERÍA DE 18 PLACAS,10,111,1110
216,2024-08-15,2,Prov Repuestos,1,SURCO,39,FILTRO DE COMBUSTIBLE,1,105,105
217,2024-08-15,2,Prov Repuestos,1,SURCO,40,AMORTIGUADORES DELANTEROS,32,197,6304
218,2024-08-15,2,Prov Repuestos,1,SURCO,42,"LLANTAS 18""",48,55,2640
219,2024-08-15,2,Prov Repuestos,1,SURCO,43,BATERÍA DE 18 PLACAS,13,111,1443
220,2024-09-01,2,Prov Repuestos,1,SURCO,39,FILTRO DE COMBUSTIBLE,9,83,747
221,2024-09-01,2,Prov Repuestos,2,LA MOLINA,40,AMORTIGUADORES DELANTEROS,67,247,16549
222,2024-09-01,2,Prov Repuestos,2,LA MOLINA,42,"LLANTAS 18""",71,62,4402
223,2024-09-01,2,Prov Repuestos,2,LA MOLINA,43,BATERÍA DE 18 PLACAS,66,94,6204
224,2024-09-15,1,Prov Vehículos,2,LA MOLINA,4,AUTO HONDA CRV 2014,1,16000,16000
225,2024-09-15,1,Prov Vehículos,2,LA MOLINA,6,AUTO HONDA FIT 2016,1,16000,16000
226,2024-09-15,1,Prov Vehículos,2,LA MOLINA,9,CAMIONETA HONDA CROSSTOUR 2013,1,19000,19000
227,2024-09-15,2,Prov Repuestos,1,SURCO,40,AMORTIGUADORES DELANTEROS,34,247,8398
228,2024-09-15,2,Prov Repuestos,1,SURCO,43,BATERÍA DE 18 PLACAS,3,94,282
229,2024-10-01,1,Prov Vehículos,2,LA MOLINA,2,AUTO HONDA CIVIC 2014,1,14000,14000
230,2024-10-01,1,Prov Vehículos,2,LA MOLINA,3,AUTO HONDA ODISSEY 2013,1,15500,15500
231,2024-10-01,1,Prov Vehículos,2,LA MOLINA,4,AUTO HONDA CRV 2014,4,16000,64000
232,2024-10-01,1,Prov Vehículos,2,LA MOLINA,5,AUTO HONDA PILOT 2013,2,21500,43000
233,2024-10-01,1,Prov Vehículos,2,LA MOLINA,9,CAMIONETA HONDA CROSSTOUR 2013,4,19000,76000
234,2024-10-01,1,Prov Vehículos,2,LA MOLINA,10,CAMIONETA HONDA CR-Z 2015,2,21500,43000
235,2024-10-01,2,Prov Repuestos,2,LA MOLINA,40,AMORTIGUADORES DELANTEROS,58,214,12412
236,2024-10-01,2,Prov Repuestos,2,LA MOLINA,43,BATERÍA DE 18 PLACAS,48,92,4416
237,2024-10-15,1,Prov Vehículos,1,SURCO,1,AUTO HONDA ACCORD 2014,3,17500,52500
238,2024-10-15,1,Prov Vehículos,1,SURCO,2,AUTO HONDA CIVIC 2014,1,14000,14000
239,2024-10-15,1,Prov Vehículos,1,SURCO,5,AUTO HONDA PILOT 2013,1,21500,21500
240,2024-10-15,1,Prov Vehículos,1,SURCO,6,AUTO HONDA FIT 2016,3,16000,48000
241,2024-10-15,1,Prov Vehículos,1,SURCO,9,CAMIONETA HONDA CROSSTOUR 2013,2,19000,38000
242,2024-10-15,1,Prov Vehículos,1,SURCO,10,CAMIONETA HONDA CR-Z 2015,1,21500,21500
243,2024-10-15,1,Prov Vehículos,1,SURCO,11,CAMIONETA HONDA RID LINE PICK UP 2014,3,16000,48000
244,2024-10-15,2,Prov Repuestos,1,SURCO,39,FILTRO DE COMBUSTIBLE,6,102,612
245,2024-10-15,2,Prov Repuestos,1,SURCO,40,AMORTIGUADORES DELANTEROS,52,214,11128
246,2024-10-15,2,Prov Repuestos,1,SURCO,43,BATERÍA DE 18 PLACAS,29,92,2668
247,2024-11-01,1,Prov Vehículos,1,SURCO,2,AUTO HONDA CIVIC 2014,3,16800,50400
248,2024-11-01,1,Prov Vehículos,1,SURCO,3,AUTO HONDA ODISSEY 2013,7,18600,130200
