Fecha,Tipo,Almacen,ID_Producto,Producto,Cantidad_Stock
2022-12-07,Control Stock diario,LA MOLINA,38,ACEITE DE MOTOR 5W30 FULL SINTÉTICO,178
2022-12-07,Control Stock diario,SURCO,39,FILTRO DE COMBUSTIBLE,38
2022-12-07,Control Stock diario,LA MOLINA,41,AMORTIGUADORES POSTERIORES,134
2022-12-07,Control Stock diario,LA MOLINA,42,"LLANTAS 18""",285
2022-12-07,Control Stock diario,SURCO,43,BATERÍA DE 18 PLACAS,136
2022-12-07,Control Stock diario,LA MOLINA,40,AMORTIGUADORES DELANTEROS,126
2022-12-08,Control Stock diario,LA MOLINA,38,ACEITE DE MOTOR 5W30 FULL SINTÉTICO,178
2022-12-08,Control Stock diario,SURCO,39,FILTRO DE COMBUSTIBLE,38
2022-12-08,Control Stock diario,LA MOLINA,41,AMORTIGUADORES POSTERIORES,134
2022-12-08,Control Stock diario,LA MOLINA,42,"LLANTAS 18""",285
2022-12-08,Control Stock diario,SURCO,43,BATERÍA DE 18 PLACAS,136
2022-12-08,Control Stock diario,LA MOLINA,40,AMORTIGUADORES DELANTEROS,126
2022-12-09,Control Stock diario,LA MOLINA,38,ACEITE DE MOTOR 5W30 FULL SINTÉTICO,178
2022-12-09,Control Stock diario,SURCO,39,FILTRO DE COMBUSTIBLE,38
2022-12-09,Control Stock diario,LA MOLINA,41,AMORTIGUADORES POSTERIORES,134
2022-12-09,Control Stock diario,LA MOLINA,42,"LLANTAS 18""",285
2022-12-09,Control Stock diario,SURCO,43,BATERÍA DE 18 PLACAS,136
2022-12-09,Control Stock diario,LA MOLINA,40,AMORTIGUADORES DELANTEROS,126
2022-12-10,Control Stock diario,LA MOLINA,38,ACEITE DE MOTOR 5W30 FULL SINTÉTICO,178
2022-12-10,Control Stock diario,SURCO,39,FILTRO DE COMBUSTIBLE,38
2022-12-10,Control Stock diario,LA MOLINA,41,AMORTIGUADORES POSTERIORES,134
2022-12-10,Control Stock diario,LA MOLINA,42,"LLANTAS 18""",285
2022-12-10,Control Stock diario,SURCO,43,BATERÍA DE 18 PLACAS,136
2022-12-10,Control Stock diario,LA MOLINA,40,AMORTIGUADORES DELANTEROS,126
2022-12-11,Control Stock diario,LA MOLINA,38,ACEITE DE MOTOR 5W30 FULL SINTÉTICO,178
2022-12-11,Control Stock diario,SURCO,39,FILTRO DE COMBUSTIBLE,38
2022-12-11,Control Stock diario,LA MOLINA,41,AMORTIGUADORES POSTERIORES,134
2022-12-11,Control Stock diario,LA MOLINA,42,"LLANTAS 18""",285
2022-12-11,Control Stock diario,SURCO,43,BATERÍA DE 18 PLACAS,136
2022-12-11,Control Stock diario,LA MOLINA,40,AMORTIGUADORES DELANTEROS,126
2022-12-12,Control Stock diario,LA MOLINA,38,ACEITE DE MOTOR 5W30 FULL SINTÉTICO,178
2022-12-12,Control Stock diario,SURCO,39,FILTRO DE COMBUSTIBLE,38
2022-12-12,Control Stock diario,LA MOLINA,41,AMORTIGUADORES POSTERIORES,134
2022-12-12,Control Stock diario,LA MOLINA,42,"LLANTAS 18""",285
2022-12-12,Control Stock diario,SURCO,43,BATERÍA DE 18 PLACAS,136
2022-12-12,Control Stock diario,LA MOLINA,40,AMORTIGUADORES DELANTEROS,126
2022-12-13,Control Stock diario,LA MOLINA,38,ACEITE DE MOTOR 5W30 FULL SINTÉTICO,178
2022-12-13,Control Stock diario,SURCO,39,FILTRO DE COMBUSTIBLE,38
2022-12-13,Control Stock diario,LA MOLINA,41,AMORTIGUADORES POSTERIORES,134
2022-12-13,Control Stock diario,LA MOLINA,42,"LLANTAS 18""",285
2022-12-13,Control Stock diario,SURCO,43,BATERÍA DE 18 PLACAS,136
2022-12-13,Control Stock diario,LA MOLINA,40,AMORTIGUADORES DELANTEROS,126
2022-12-14,Control Stock diario,LA MOLINA,38,ACEITE DE MOTOR 5W30 FULL SINTÉTICO,178
2022-12-14,Control Stock diario,SURCO,39,FILTRO DE COMBUSTIBLE,38
2022-12-14,Control Stock diario,LA MOLINA,41,AMORTIGUADORES POSTERIORES,134
2022-12-14,Control Stock diario,LA MOLINA,42,"LLANTAS 18""",285
2022-12-14,Control Stock diario,SURCO,43,BATERÍA DE 18 PLACAS,136
2022-12-14,Control Stock diario,LA MOLINA,40,AMORTIGUADORES DELANTEROS,126
2022-12-14,Cierre de Stock general,LA MOLINA,38,ACEITE DE MOTOR 5W30 FULL SINTÉTICO,178
2022-12-14,Cierre de Stock general,SURCO,39,FILTRO DE COMBUSTIBLE,38
2022-12-14,Cierre de Stock general,LA MOLINA,41,AMORTIGUADORES POSTERIORES,134
2022-12-14,Cierre de Stock general,LA MOLINA,42,"LLANTAS 18""",285
2022-12-14,Cierre de Stock general,SURCO,43,BATERÍA DE 18 PLACAS,136
2022-12-14,Cierre de Stock general,LA MOLINA,40,AMORTIGUADORES DELANTEROS,126
2022-12-15,Control Stock diario,LA MOLINA,38,ACEITE DE MOTOR 5W30 FULL SINTÉTICO,178
2022-12-15,Control Stock diario,SURCO,39,FILTRO DE COMBUSTIBLE,38
2022-12-15,Control Stock diario,LA MOLINA,41,AMORTIGUADORES POSTERIORES,134
2022-12-15,Control Stock diario,LA MOLINA,42,"LLANTAS 18""",285
2022-12-15,Control Stock diario,SURCO,43,BATERÍA DE 18 PLACAS,136
2022-12-15,Control Stock diario,LA MOLINA,40,AMORTIGUADORES DELANTEROS,126
2022-12-16,Control Stock diario,LA MOLINA,38,ACEITE DE MOTOR 5W30 FULL SINTÉTICO,178
2022-12-16,Control Stock diario,SURCO,39,FILTRO DE COMBUSTIBLE,38
2022-12-16,Control Stock diario,LA MOLINA,41,AMORTIGUADORES POSTERIORES,134
2022-12-16,Control Stock diario,LA MOLINA,42,"LLANTAS 18""",285
2022-12-16,Control Stock diario,SURCO,43,BATERÍA DE 18 PLACAS,136
2022-12-16,Control Stock diario,LA MOLINA,40,AMORTIGUADORES DELANTEROS,126
2022-12-17,Control Stock diario,LA MOLINA,38,ACEITE DE MOTOR 5W30 FULL SINTÉTICO,178
2022-12-17,Control Stock diario,SURCO,39,FILTRO DE COMBUSTIBLE,38
2022-12-17,Control Stock diario,LA MOLINA,41,AMORTIGUADORES POSTERIORES,134
2022-12-17,Control Stock diario,LA MOLINA,42,"LLANTAS 18""",285
2022-12-17,Control Stock diario,SURCO,43,BATERÍA DE 18 PLACAS,136
2022-12-17,Control Stock diario,LA MOLINA,40,AMORTIGUADORES DELANTEROS,126
2022-12-18,Control Stock diario,LA MOLINA,38,ACEITE DE MOTOR 5W30 FULL SINTÉTICO,178
2022-12-18,Control Stock diario,SURCO,39,FILTRO DE COMBUSTIBLE,38
2022-12-18,Control Stock diario,LA MOLINA,41,AMORTIGUADORES POSTERIORES,134
2022-12-18,Control Stock diario,LA MOLINA,42,"LLANTAS 18""",285
2022-12-18,Control Stock diario,SURCO,43,BATERÍA DE 18 PLACAS,136
2022-12-18,Control Stock diario,LA MOLINA,40,AMORTIGUADORES DELANTEROS,126
2022-12-19,Control Stock diario,LA MOLINA,38,ACEITE DE MOTOR 5W30 FULL SINTÉTICO,178
2022-12-19,Control Stock diario,SURCO,39,FILTRO DE COMBUSTIBLE,38
2022-12-19,Control Stock diario,LA MOLINA,41,AMORTIGUADORES POSTERIORES,134
2022-12-19,Control Stock diario,LA MOLINA,42,"LLANTAS 18""",285
2022-12-19,Control Stock diario,SURCO,43,BATERÍA DE 18 PLACAS,136
2022-12-19,Control Stock diario,LA MOLINA,40,AMORTIGUADORES DELANTEROS,126
2022-12-20,Control Stock diario,LA MOLINA,38,ACEITE DE MOTOR 5W30 FULL SINTÉTICO,178
2022-12-20,Control Stock diario,SURCO,39,FILTRO DE COMBUSTIBLE,38
2022-12-20,Control Stock diario,LA MOLINA,41,AMORTIGUADORES POSTERIORES,134
2022-12-20,Control Stock diario,LA MOLINA,42,"LLANTAS 18""",285
2022-12-20,Control Stock diario,SURCO,43,BATERÍA DE 18 PLACAS,136
2022-12-20,Control Stock diario,LA MOLINA,40,AMORTIGUADORES DELANTEROS,126
2022-12-21,Control Stock diario,LA MOLINA,38,ACEITE DE MOTOR 5W30 FULL SINTÉTICO,178
2022-12-21,Control Stock diario,SURCO,39,FILTRO DE COMBUSTIBLE,38
2022-12-21,Control Stock diario,LA MOLINA,41,AMORTIGUADORES POSTERIORES,134
2022-12-21,Control Stock diario,LA MOLINA,42,"LLANTAS 18""",285
2022-12-21,Control Stock diario,SURCO,43,BATERÍA DE 18 PLACAS,136
2022-12-21,Control Stock diario,LA MOLINA,40,AMORTIGUADORES DELANTEROS,126
2022-12-22,Control Stock diario,LA MOLINA,38,ACEITE DE MOTOR 5W30 FULL SINTÉTICO,178
2022-12-22,Control Stock diario,SURCO,39,FILTRO DE COMBUSTIBLE,38
2022-12-22,Control Stock diario,LA MOLINA,41,AMORTIGUADORES POSTERIORES,134
2022-12-22,Control Stock diario,LA MOLINA,42,"LLANTAS 18""",285
2022-12-22,Control Stock diario,SURCO,43,BATERÍA DE 18 PLACAS,136
2022-12-22,Control Stock diario,LA MOLINA,40,AMORTIGUADORES DELANTEROS,126
2022-12-23,Control Stock diario,LA MOLINA,38,ACEITE DE MOTOR 5W30 FULL SINTÉTICO,178
2022-12-23,Control Stock diario,SURCO,39,FILTRO DE COMBUSTIBLE,38
2022-12-23,Control Stock diario,LA MOLINA,41,AMORTIGUADORES POSTERIORES,134
2022-12-23,Control Stock diario,LA MOLINA,42,"LLANTAS 18""",285
2022-12-23,Control Stock diario,SURCO,43,BATERÍA DE 18 PLACAS,136
2022-12-23,Control Stock diario,LA MOLINA,40,AMORTIGUADORES DELANTEROS,126
2022-12-24,Control Stock diario,LA MOLINA,38,ACEITE DE MOTOR 5W30 FULL SINTÉTICO,178
2022-12-24,Control Stock diario,SURCO,39,FILTRO DE COMBUSTIBLE,38
2022-12-24,Control Stock diario,LA MOLINA,41,AMORTIGUADORES POSTERIORES,134
2022-12-24,Control Stock diario,LA MOLINA,42,"LLANTAS 18""",285
2022-12-24,Control Stock diario,SURCO,43,BATERÍA DE 18 PLACAS,136
2022-12-24,Control Stock diario,LA MOLINA,40,AMORTIGUADORES DELANTEROS,126
2022-12-25,Control Stock diario,LA MOLINA,38,ACEITE DE MOTOR 5W30 FULL SINTÉTICO,178
2022-12-25,Control Stock diario,SURCO,39,FILTRO DE COMBUSTIBLE,38
2022-12-25,Control Stock diario,LA MOLINA,41,AMORTIGUADORES POSTERIORES,134
2022-12-25,Control Stock diario,LA MOLINA,42,"LLANTAS 18""",285
2022-12-25,Control Stock diario,SURCO,43,BATERÍA DE 18 PLACAS,136
2022-12-25,Control Stock diario,LA MOLINA,40,AMORTIGUADORES DELANTEROS,126
2022-12-26,Entrada,SURCO,1,AUTO HONDA ACCORD 2014,4
2022-12-26,Entrada,SURCO,2,AUTO HONDA CIVIC 2014,10
2022-12-26,Entrada,SURCO,4,AUTO HONDA CRV 2014,9
2022-12-26,Entrada,SURCO,5,AUTO HONDA PILOT 2013,9
2022-12-26,Entrada,SURCO,6,AUTO HONDA FIT 2016,10
2022-12-26,Entrada,SURCO,7,AUTO HONDA CITY 2016,5
2022-12-26,Entrada,SURCO,8,CAMIONETA HONDA ELEMENT 2013,5
2022-12-26,Entrada,SURCO,9,CAMIONETA HONDA CROSSTOUR 2013,6
2022-12-26,Entrada,SURCO,10,CAMIONETA HONDA CR-Z 2015,6
2022-12-26,Entrada,SURCO,11,CAMIONETA HONDA RID LINE PICK UP 2014,5
2022-12-26,Entrada,SURCO,1,AUTO HONDA ACCORD 2014,11
2022-12-26,Entrada,SURCO,2,AUTO HONDA CIVIC 2014,2
2022-12-26,Entrada,SURCO,3,AUTO HONDA ODISSEY 2013,10
2022-12-26,Entrada,SURCO,4,AUTO HONDA CRV 2014,3
2022-12-26,Entrada,SURCO,5,AUTO HONDA PILOT 2013,13
2022-12-26,Entrada,SURCO,7,AUTO HONDA CITY 2016,9
2022-12-26,Entrada,SURCO,8,CAMIONETA HONDA ELEMENT 2013,5
2022-12-26,Entrada,SURCO,9,CAMIONETA HONDA CROSSTOUR 2013,7
2022-12-26,Entrada,SURCO,10,CAMIONETA HONDA CR-Z 2015,2
2022-12-26,Entrada,SURCO,11,CAMIONETA HONDA RID LINE PICK UP 2014,9
2022-12-26,Control Stock diario,LA MOLINA,38,ACEITE DE MOTOR 5W30 FULL SINTÉTICO,178
2022-12-26,Control Stock diario,SURCO,39,FILTRO DE COMBUSTIBLE,38
2022-12-26,Control Stock diario,LA MOLINA,41,AMORTIGUADORES POSTERIORES,134
2022-12-26,Control Stock diario,LA MOLINA,42,"LLANTAS 18""",285
2022-12-26,Control Stock diario,SURCO,43,BATERÍA DE 18 PLACAS,136
2022-12-26,Control Stock diario,LA MOLINA,40,AMORTIGUADORES DELANTEROS,126
2022-12-26,Control Stock diario,SURCO,1,AUTO HONDA ACCORD 2014,15
2022-12-26,Control Stock diario,SURCO,2,AUTO HONDA CIVIC 2014,12
2022-12-26,Control Stock diario,SURCO,4,AUTO HONDA CRV 2014,12
2022-12-26,Control Stock diario,SURCO,5,AUTO HONDA PILOT 2013,22
2022-12-26,Control Stock diario,SURCO,6,AUTO HONDA FIT 2016,10
2022-12-26,Control Stock diario,SURCO,7,AUTO HONDA CITY 2016,14
2022-12-26,Control Stock diario,SURCO,8,CAMIONETA HONDA ELEMENT 2013,10
2022-12-26,Control Stock diario,SURCO,9,CAMIONETA HONDA CROSSTOUR 2013,13
2022-12-26,Control Stock diario,SURCO,10,CAMIONETA HONDA CR-Z 2015,8
2022-12-26,Control Stock diario,SURCO,11,CAMIONETA HONDA RID LINE PICK UP 2014,14
2022-12-26,Control Stock diario,SURCO,3,AUTO HONDA ODISSEY 2013,10
2022-12-27,Control Stock diario,LA MOLINA,38,ACEITE DE MOTOR 5W30 FULL SINTÉTICO,178
2022-12-27,Control Stock diario,SURCO,39,FILTRO DE COMBUSTIBLE,38
2022-12-27,Control Stock diario,LA MOLINA,41,AMORTIGUADORES POSTERIORES,134
2022-12-27,Control Stock diario,LA MOLINA,42,"LLANTAS 18""",285
2022-12-27,Control Stock diario,SURCO,43,BATERÍA DE 18 PLACAS,136
2022-12-27,Control Stock diario,LA MOLINA,40,AMORTIGUADORES DELANTEROS,126
2022-12-27,Control Stock diario,SURCO,1,AUTO HONDA ACCORD 2014,15
2022-12-27,Control Stock diario,SURCO,2,AUTO HONDA CIVIC 2014,12
2022-12-27,Control Stock diario,SURCO,4,AUTO HONDA CRV 2014,12
2022-12-27,Control Stock diario,SURCO,5,AUTO HONDA PILOT 2013,22
2022-12-27,Control Stock diario,SURCO,6,AUTO HONDA FIT 2016,10
2022-12-27,Control Stock diario,SURCO,7,AUTO HONDA CITY 2016,14
2022-12-27,Control Stock diario,SURCO,8,CAMIONETA HONDA ELEMENT 2013,10
2022-12-27,Control Stock diario,SURCO,9,CAMIONETA HONDA CROSSTOUR 2013,13
2022-12-27,Control Stock diario,SURCO,10,CAMIONETA HONDA CR-Z 2015,8
2022-12-27,Control Stock diario,SURCO,11,CAMIONETA HONDA RID LINE PICK UP 2014,14
2022-12-27,Control Stock diario,SURCO,3,AUTO HONDA ODISSEY 2013,10
2022-12-28,Control Stock diario,LA MOLINA,38,ACEITE DE MOTOR 5W30 FULL SINTÉTICO,178
2022-12-28,Control Stock diario,SURCO,39,FILTRO DE COMBUSTIBLE,38
2022-12-28,Control Stock diario,LA MOLINA,41,AMORTIGUADORES POSTERIORES,134
2022-12-28,Control Stock diario,LA MOLINA,42,"LLANTAS 18""",285
2022-12-28,Control Stock diario,SURCO,43,BATERÍA DE 18 PLACAS,136
2022-12-28,Control Stock diario,LA MOLINA,40,AMORTIGUADORES DELANTEROS,126
2022-12-28,Control Stock diario,SURCO,1,AUTO HONDA ACCORD 2014,15
2022-12-28,Control Stock diario,SURCO,2,AUTO HONDA CIVIC 2014,12
2022-12-28,Control Stock diario,SURCO,4,AUTO HONDA CRV 2014,12
2022-12-28,Control Stock diario,SURCO,5,AUTO HONDA PILOT 2013,22
2022-12-28,Control Stock diario,SURCO,6,AUTO HONDA FIT 2016,10
2022-12-28,Control Stock diario,SURCO,7,AUTO HONDA CITY 2016,14
2022-12-28,Control Stock diario,SURCO,8,CAMIONETA HONDA ELEMENT 2013,10
2022-12-28,Control Stock diario,SURCO,9,CAMIONETA HONDA CROSSTOUR 2013,13
2022-12-28,Control Stock diario,SURCO,10,CAMIONETA HONDA CR-Z 2015,8
2022-12-28,Control Stock diario,SURCO,11,CAMIONETA HONDA RID LINE PICK UP 2014,14
2022-12-28,Control Stock diario,SURCO,3,AUTO HONDA ODISSEY 2013,10
2022-12-29,Control Stock diario,LA MOLINA,38,ACEITE DE MOTOR 5W30 FULL SINTÉTICO,178
2022-12-29,Control Stock diario,SURCO,39,FILTRO DE COMBUSTIBLE,38
2022-12-29,Control Stock diario,LA MOLINA,41,AMORTIGUADORES POSTERIORES,134
2022-12-29,Control Stock diario,LA MOLINA,42,"LLANTAS 18""",285
2022-12-29,Control Stock diario,SURCO,43,BATERÍA DE 18 PLACAS,136
2022-12-29,Control Stock diario,LA MOLINA,40,AMORTIGUADORES DELANTEROS,126
2022-12-29,Control Stock diario,SURCO,1,AUTO HONDA ACCORD 2014,15
2022-12-29,Control Stock diario,SURCO,2,AUTO HONDA CIVIC 2014,12
2022-12-29,Control Stock diario,SURCO,4,AUTO HONDA CRV 2014,12
2022-12-29,Control Stock diario,SURCO,5,AUTO HONDA PILOT 2013,22
2022-12-29,Control Stock diario,SURCO,6,AUTO HONDA FIT 2016,10
2022-12-29,Control Stock diario,SURCO,7,AUTO HONDA CITY 2016,14
2022-12-29,Control Stock diario,SURCO,8,CAMIONETA HONDA ELEMENT 2013,10
2022-12-29,Control Stock diario,SURCO,9,CAMIONETA HONDA CROSSTOUR 2013,13
2022-12-29,Control Stock diario,SURCO,10,CAMIONETA HONDA CR-Z 2015,8
2022-12-29,Control Stock diario,SURCO,11,CAMIONETA HONDA RID LINE PICK UP 2014,14
2022-12-29,Control Stock diario,SURCO,3,AUTO HONDA ODISSEY 2013,10
2022-12-30,Control Stock diario,LA MOLINA,38,ACEITE DE MOTOR 5W30 FULL SINTÉTICO,178
2022-12-30,Control Stock diario,SURCO,39,FILTRO DE COMBUSTIBLE,38
2022-12-30,Control Stock diario,LA MOLINA,41,AMORTIGUADORES POSTERIORES,134
2022-12-30,Control Stock diario,LA MOLINA,42,"LLANTAS 18""",285
2022-12-30,Control Stock diario,SURCO,43,BATERÍA DE 18 PLACAS,136
2022-12-30,Control Stock diario,LA MOLINA,40,AMORTIGUADORES DELANTEROS,126
2022-12-30,Control Stock diario,SURCO,1,AUTO HONDA ACCORD 2014,15
2022-12-30,Control Stock diario,SURCO,2,AUTO HONDA CIVIC 2014,12
2022-12-30,Control Stock diario,SURCO,4,AUTO HONDA CRV 2014,12
2022-12-30,Control Stock diario,SURCO,5,AUTO HONDA PILOT 2013,22
2022-12-30,Control Stock diario,SURCO,6,AUTO HONDA FIT 2016,10
2022-12-30,Control Stock diario,SURCO,7,AUTO HONDA CITY 2016,14
2022-12-30,Control Stock diario,SURCO,8,CAMIONETA HONDA ELEMENT 2013,10
2022-12-30,Control Stock diario,SURCO,9,CAMIONETA HONDA CROSSTOUR 2013,13
2022-12-30,Control Stock diario,SURCO,10,CAMIONETA HONDA CR-Z 2015,8
2022-12-30,Control Stock diario,SURCO,11,CAMIONETA HONDA RID LINE PICK UP 2014,14
2022-12-30,Control Stock diario,SURCO,3,AUTO HONDA ODISSEY 2013,10
2022-12-31,Control Stock diario,LA MOLINA,38,ACEITE DE MOTOR 5W30 FULL SINTÉTICO,178
2022-12-31,Control Stock diario,SURCO,39,FILTRO DE COMBUSTIBLE,38
2022-12-31,Control Stock diario,LA MOLINA,41,AMORTIGUADORES POSTERIORES,134
2022-12-31,Control Stock diario,LA MOLINA,42,"LLANTAS 18""",285
2022-12-31,Control Stock diario,SURCO,43,BATERÍA DE 18 PLACAS,136
2022-12-31,Control Stock diario,LA MOLINA,40,AMORTIGUADORES DELANTEROS,126
2022-12-31,Control Stock diario,SURCO,1,AUTO HONDA ACCORD 2014,15
2022-12-31,Control Stock diario,SURCO,2,AUTO HONDA CIVIC 2014,12
2022-12-31,Control Stock diario,SURCO,4,AUTO HONDA CRV 2014,12
2022-12-31,Control Stock diario,SURCO,5,AUTO HONDA PILOT 2013,22
2022-12-31,Control Stock diario,SURCO,6,AUTO HONDA FIT 2016,10
2022-12-31,Control Stock diario,SURCO,7,AUTO HONDA CITY 2016,14
2022-12-31,Control Stock diario,SURCO,8,CAMIONETA HONDA ELEMENT 2013,10
2022-12-31,Control Stock diario,SURCO,9,CAMIONETA HONDA CROSSTOUR 2013,13
2022-12-31,Control Stock diario,SURCO,10,CAMIONETA HONDA CR-Z 2015,8
2022-12-31,Control Stock diario,SURCO,11,CAMIONETA HONDA RID LINE PICK UP 2014,14
2022-12-31,Control Stock diario,SURCO,3,AUTO HONDA ODISSEY 2013,10
2022-12-31,Cierre de Stock general,LA MOLINA,38,ACEITE DE MOTOR 5W30 FULL SINTÉTICO,178
2022-12-31,Cierre de Stock general,SURCO,39,FILTRO DE COMBUSTIBLE,38
2022-12-31,Cierre de Stock general,LA MOLINA,41,AMORTIGUADORES POSTERIORES,134
2022-12-31,Cierre de Stock general,LA MOLINA,42,"LLANTAS 18""",285
2022-12-31,Cierre de Stock general,SURCO,43,BATERÍA DE 18 PLACAS,136
2022-12-31,Cierre de Stock general,LA MOLINA,40,AMORTIGUADORES DELANTEROS,126
2022-12-31,Cierre de Stock general,SURCO,1,AUTO HONDA ACCORD 2014,15
2022-12-31,Cierre de Stock general,SURCO,2,AUTO HONDA CIVIC 2014,12
2022-12-31,Cierre de Stock general,SURCO,4,AUTO HONDA CRV 2014,12
2022-12-31,Cierre de Stock general,SURCO,5,AUTO HONDA PILOT 2013,22
2022-12-31,Cierre de Stock general,SURCO,6,AUTO HONDA FIT 2016,10
2022-12-31,Cierre de Stock general,SURCO,7,AUTO HONDA CITY 2016,14
2022-12-31,Cierre de Stock general,SURCO,8,CAMIONETA HONDA ELEMENT 2013,10
2022-12-31,Cierre de Stock general,SURCO,9,CAMIONETA HONDA CROSSTOUR 2013,13
2022-12-31,Cierre de Stock general,SURCO,10,CAMIONETA HONDA CR-Z 2015,8
2022-12-31,Cierre de Stock general,SURCO,11,CAMIONETA HONDA RID LINE PICK UP 2014,14
2022-12-31,Cierre de Stock general,SURCO,3,AUTO HONDA ODISSEY 2013,10
2023-01-02,Salida,SURCO,6,AUTO HONDA FIT 2016,-1
2023-01-02,Salida,SURCO,9,CAMIONETA HONDA CROSSTOUR 2013,-1
2023-01-02,Salida,LA MOLINA,41,AMORTIGUADORES POSTERIORES,-14
2023-01-01,Control Stock diario,LA MOLINA,38,ACEITE DE MOTOR 5W30 FULL SINTÉTICO,178
2023-01-01,Control Stock diario,SURCO,39,FILTRO DE COMBUSTIBLE,38
2023-01-01,Control Stock diario,LA MOLINA,41,AMORTIGUADORES POSTERIORES,120
2023-01-01,Control Stock diario,LA MOLINA,42,"LLANTAS 18""",285
2023-01-01,Control Stock diario,SURCO,43,BATERÍA DE 18 PLACAS,136
2023-01-01,Control Stock diario,LA MOLINA,40,AMORTIGUADORES DELANTEROS,126
2023-01-01,Control Stock diario,SURCO,1,AUTO HONDA ACCORD 2014,15
2023-01-01,Control Stock diario,SURCO,2,AUTO HONDA CIVIC 2014,12
2023-01-01,Control Stock diario,SURCO,4,AUTO HONDA CRV 2014,12
2023-01-01,Control Stock diario,SURCO,5,AUTO HONDA PILOT 2013,22
2023-01-01,Control Stock diario,SURCO,6,AUTO HONDA FIT 2016,9
2023-01-01,Control Stock diario,SURCO,7,AUTO HONDA CITY 2016,14
2023-01-01,Control Stock diario,SURCO,8,CAMIONETA HONDA ELEMENT 2013,10
2023-01-01,Control Stock diario,SURCO,9,CAMIONETA HONDA CROSSTOUR 2013,12
2023-01-01,Control Stock diario,SURCO,10,CAMIONETA HONDA CR-Z 2015,8
2023-01-01,Control Stock diario,SURCO,11,CAMIONETA HONDA RID LINE PICK UP 2014,14
2023-01-01,Control Stock diario,SURCO,3,AUTO HONDA ODISSEY 2013,10
2023-01-03,Salida,SURCO,1,AUTO HONDA ACCORD 2014,-1
2023-01-03,Salida,SURCO,2,AUTO HONDA CIVIC 2014,-1
2023-01-03,Salida,SURCO,8,CAMIONETA HONDA ELEMENT 2013,-1
2023-01-03,Salida,SURCO,11,CAMIONETA HONDA RID LINE PICK UP 2014,-1
2023-01-02,Control Stock diario,LA MOLINA,38,ACEITE DE MOTOR 5W30 FULL SINTÉTICO,178
2023-01-02,Control Stock diario,SURCO,39,FILTRO DE COMBUSTIBLE,38
2023-01-02,Control Stock diario,LA MOLINA,41,AMORTIGUADORES POSTERIORES,120
2023-01-02,Control Stock diario,LA MOLINA,42,"LLANTAS 18""",285
2023-01-02,Control Stock diario,SURCO,43,BATERÍA DE 18 PLACAS,136
2023-01-02,Control Stock diario,LA MOLINA,40,AMORTIGUADORES DELANTEROS,126
2023-01-02,Control Stock diario,SURCO,1,AUTO HONDA ACCORD 2014,14
2023-01-02,Control Stock diario,SURCO,2,AUTO HONDA CIVIC 2014,11
2023-01-02,Control Stock diario,SURCO,4,AUTO HONDA CRV 2014,12
2023-01-02,Control Stock diario,SURCO,5,AUTO HONDA PILOT 2013,22
