id_venta,fecha,id_cliente,id_almacen,id_producto,producto,cantidad,precio_venta,monto,id_vendedor
117,2023-01-21,173,1,43,BATERÍA DE 18 PLACAS,5,125,625,1
122,2023-01-21,183,1,43,BATERÍA DE 18 PLACAS,1,125,125,2
40,2023-01-22,161,1,8,CAMIONETA HONDA ELEMENT 2013,1,52453,52453,3
93,2023-01-22,23,2,41,AMORTIGUADORES POSTERIORES,12,120,1440,1
23,2023-01-23,141,1,5,AUTO HONDA PILOT 2013,1,21940,21940,2
110,2023-01-23,42,2,42,"LLANTAS 18""",3,68,204,3
82,2023-01-24,146,2,40,AMORTIGUADORES DELANTEROS,17,248,4216,2
112,2023-01-24,196,2,42,"LLANTAS 18""",8,68,544,2
28,2023-01-25,59,1,6,AUTO HONDA FIT 2016,1,30359,30359,1
53,2023-01-25,176,1,11,CAMIONETA HONDA RID LINE PICK UP 2014,1,57264,57264,4
61,2023-01-25,33,2,38,ACEITE DE MOTOR 5W30 FULL SINTÉTICO,13,100,1300,2
123,2023-01-26,43,1,43,BATERÍA DE 18 PLACAS,2,125,250,4
78,2023-01-27,104,2,40,AMORTIGUADORES DELANTEROS,3,248,744,4
9,2023-01-28,87,1,2,AUTO HONDA CIVIC 2014,1,23803,23803,1
67,2023-01-28,65,1,39,FILTRO DE COMBUSTIBLE,1,95,95,3
130,2023-02-01,70,1,1,AUTO HONDA ACCORD 2014,1,26157,26157,4
144,2023-02-01,38,1,4,AUTO HONDA CRV 2014,1,26738,26738,2
125,2023-02-02,178,1,1,AUTO HONDA ACCORD 2014,1,26157,26157,4
221,2023-02-02,55,1,43,BATERÍA DE 18 PLACAS,11,100,1100,2
205,2023-02-03,41,2,41,AMORTIGUADORES POSTERIORES,3,101,303,4
155,2023-02-04,36,1,7,AUTO HONDA CITY 2016,1,33489,33489,3
127,2023-02-05,180,1,1,AUTO HONDA ACCORD 2014,1,26157,26157,4
152,2023-02-05,198,1,6,AUTO HONDA FIT 2016,1,27435,27435,4
180,2023-02-05,39,2,38,ACEITE DE MOTOR 5W30 FULL SINTÉTICO,18,153,2754,3
166,2023-02-07,35,1,10,CAMIONETA HONDA CR-Z 2015,1,32563,32563,3
172,2023-02-07,167,2,38,ACEITE DE MOTOR 5W30 FULL SINTÉTICO,17,153,2601,3
159,2023-02-08,101,1,8,CAMIONETA HONDA ELEMENT 2013,1,31823,31823,3
186,2023-02-08,68,2,40,AMORTIGUADORES DELANTEROS,13,329,4277,2
214,2023-02-08,67,2,42,"LLANTAS 18""",11,61,671,3
140,2023-02-10,137,2,3,AUTO HONDA ODISSEY 2013,1,22799,22799,2
147,2023-02-11,34,1,5,AUTO HONDA PILOT 2013,1,26870,26870,2
161,2023-02-11,68,1,8,CAMIONETA HONDA ELEMENT 2013,1,31823,31823,1
167,2023-02-11,2,1,10,CAMIONETA HONDA CR-Z 2015,1,32563,32563,2
176,2023-02-11,71,2,38,ACEITE DE MOTOR 5W30 FULL SINTÉTICO,20,153,3060,2
177,2023-02-11,180,2,38,ACEITE DE MOTOR 5W30 FULL SINTÉTICO,3,153,459,2
191,2023-02-11,116,2,40,AMORTIGUADORES DELANTEROS,16,329,5264,3
195,2023-02-11,190,2,41,AMORTIGUADORES POSTERIORES,14,101,1414,3
208,2023-02-11,108,2,42,"LLANTAS 18""",20,61,1220,1
228,2023-02-11,124,1,43,BATERÍA DE 18 PLACAS,1,100,100,3
131,2023-02-12,175,1,1,AUTO HONDA ACCORD 2014,1,26157,26157,4
194,2023-02-12,55,2,41,AMORTIGUADORES POSTERIORES,15,101,1515,4
217,2023-02-12,21,2,42,"LLANTAS 18""",19,61,1159,1
201,2023-02-13,103,2,41,AMORTIGUADORES POSTERIORES,14,101,1414,3
141,2023-02-14,167,1,3,AUTO HONDA ODISSEY 2013,1,22799,22799,2
128,2023-02-15,47,1,1,AUTO HONDA ACCORD 2014,1,26157,26157,1
132,2023-02-15,169,1,1,AUTO HONDA ACCORD 2014,1,26157,26157,4
139,2023-02-15,165,2,3,AUTO HONDA ODISSEY 2013,1,22799,22799,1
212,2023-02-15,9,2,42,"LLANTAS 18""",4,61,244,4
225,2023-02-16,98,1,43,BATERÍA DE 18 PLACAS,5,100,500,1
150,2023-02-17,61,1,6,AUTO HONDA FIT 2016,1,27435,27435,1
154,2023-02-17,5,1,7,AUTO HONDA CITY 2016,1,33489,33489,4
164,2023-02-17,76,1,10,CAMIONETA HONDA CR-Z 2015,1,32563,32563,2
178,2023-02-18,27,2,38,ACEITE DE MOTOR 5W30 FULL SINTÉTICO,18,153,2754,2
138,2023-02-22,10,2,3,AUTO HONDA ODISSEY 2013,1,22799,22799,1
218,2023-02-23,5,2,42,"LLANTAS 18""",8,61,488,1
136,2023-02-24,13,1,2,AUTO HONDA CIVIC 2014,1,24660,24660,1
143,2023-02-25,67,1,4,AUTO HONDA CRV 2014,1,26738,26738,1
213,2023-02-25,58,2,42,"LLANTAS 18""",19,61,1159,2
142,2023-02-26,21,1,4,AUTO HONDA CRV 2014,1,26738,26738,1
198,2023-02-27,180,2,41,AMORTIGUADORES POSTERIORES,7,101,707,1
133,2023-02-28,170,1,1,AUTO HONDA ACCORD 2014,1,26157,26157,4
148,2023-02-28,127,1,6,AUTO HONDA FIT 2016,1,27435,27435,2
240,2023-03-01,169,1,3,AUTO HONDA ODISSEY 2013,1,20990,20990,2
330,2023-03-01,96,1,43,BATERÍA DE 18 PLACAS,7,118,826,3
232,2023-03-02,73,1,1,AUTO HONDA ACCORD 2014,1,27283,27283,1
254,2023-03-02,53,1,6,AUTO HONDA FIT 2016,1,31910,31910,2
321,2023-03-02,153,2,42,"LLANTAS 18""",4,47,188,2
246,2023-03-03,162,1,5,AUTO HONDA PILOT 2013,1,30304,30304,1
275,2023-03-03,52,2,38,ACEITE DE MOTOR 5W30 FULL SINTÉTICO,17,144,2448,4
300,2023-03-04,114,2,41,AMORTIGUADORES POSTERIORES,10,103,1030,1
250,2023-03-06,42,1,5,AUTO HONDA PILOT 2013,1,30304,30304,1
264,2023-03-06,28,1,9,CAMIONETA HONDA CROSSTOUR 2013,1,34868,34868,2
299,2023-03-06,114,2,41,AMORTIGUADORES POSTERIORES,10,103,1030,1
269,2023-03-07,17,1,10,CAMIONETA HONDA CR-Z 2015,1,41856,41856,4
248,2023-03-09,109,1,5,AUTO HONDA PILOT 2013,1,30304,30304,1
262,2023-03-09,171,1,8,CAMIONETA HONDA ELEMENT 2013,1,30142,30142,3
237,2023-03-10,184,1,2,AUTO HONDA CIVIC 2014,1,22799,22799,3
249,2023-03-10,126,1,5,AUTO HONDA PILOT 2013,1,30304,30304,3
270,2023-03-10,101,1,10,CAMIONETA HONDA CR-Z 2015,1,41856,41856,2
312,2023-03-10,122,2,42,"LLANTAS 18""",2,47,94,2
251,2023-03-14,82,1,6,AUTO HONDA FIT 2016,1,31910,31910,3
253,2023-03-14,189,1,6,AUTO HONDA FIT 2016,1,31910,31910,2
327,2023-03-14,48,1,43,BATERÍA DE 18 PLACAS,6,118,708,1
276,2023-03-15,107,2,38,ACEITE DE MOTOR 5W30 FULL SINTÉTICO,4,144,576,4
315,2023-03-15,66,2,42,"LLANTAS 18""",4,47,188,2
257,2023-03-16,56,1,7,AUTO HONDA CITY 2016,1,30733,30733,2
271,2023-03-16,36,1,11,CAMIONETA HONDA RID LINE PICK UP 2014,1,39060,39060,3
234,2023-03-17,10,1,2,AUTO HONDA CIVIC 2014,1,22799,22799,4
263,2023-03-17,57,1,9,CAMIONETA HONDA CROSSTOUR 2013,1,34868,34868,1
239,2023-03-19,35,1,3,AUTO HONDA ODISSEY 2013,1,20990,20990,1
323,2023-03-19,107,1,43,BATERÍA DE 18 PLACAS,4,118,472,4
235,2023-03-20,136,1,2,AUTO HONDA CIVIC 2014,1,22799,22799,1
255,2023-03-20,57,1,6,AUTO HONDA FIT 2016,1,31910,31910,4
258,2023-03-22,42,1,7,AUTO HONDA CITY 2016,1,30733,30733,2
238,2023-03-23,83,1,2,AUTO HONDA CIVIC 2014,1,22799,22799,4
245,2023-03-23,124,1,5,AUTO HONDA PILOT 2013,1,30304,30304,4
242,2023-03-24,23,1,4,AUTO HONDA CRV 2014,1,21866,21866,2
324,2023-03-24,48,1,43,BATERÍA DE 18 PLACAS,11,118,1298,4
265,2023-03-25,187,1,9,CAMIONETA HONDA CROSSTOUR 2013,1,34868,34868,2
325,2023-03-25,129,1,43,BATERÍA DE 18 PLACAS,3,118,354,2
268,2023-03-27,76,1,10,CAMIONETA HONDA CR-Z 2015,1,41856,41856,4
247,2023-03-28,74,1,5,AUTO HONDA PILOT 2013,1,30304,30304,4
329,2023-03-28,173,2,43,BATERÍA DE 18 PLACAS,3,118,354,4
370,2023-04-01,44,1,7,AUTO HONDA CITY 2016,1,28639,28639,3
430,2023-04-01,180,2,42,"LLANTAS 18""",8,37,296,2
336,2023-04-02,47,1,2,AUTO HONDA CIVIC 2014,1,28018,28018,4
346,2023-04-02,79,1,3,AUTO HONDA ODISSEY 2013,1,18026,18026,4
379,2023-04-02,52,1,11,CAMIONETA HONDA RID LINE PICK UP 2014,1,45972,45972,4
351,2023-04-03,179,1,4,AUTO HONDA CRV 2014,1,25905,25905,2
368,2023-04-03,19,1,7,AUTO HONDA CITY 2016,1,28639,28639,3
337,2023-04-04,46,1,2,AUTO HONDA CIVIC 2014,1,28018,28018,3
348,2023-04-04,38,1,3,AUTO HONDA ODISSEY 2013,1,18026,18026,2
427,2023-04-04,26,2,42,"LLANTAS 18""",18,37,666,3
338,2023-04-05,145,1,2,AUTO HONDA CIVIC 2014,1,28018,28018,3
352,2023-04-05,151,1,5,AUTO HONDA PILOT 2013,1,34640,34640,3
421,2023-04-05,134,2,42,"LLANTAS 18""",12,37,444,3
442,2023-04-05,148,1,43,BATERÍA DE 18 PLACAS,14,117,1638,3
443,2023-04-06,122,1,43,BATERÍA DE 18 PLACAS,1,117,117,4
342,2023-04-07,193,1,3,AUTO HONDA ODISSEY 2013,1,18026,18026,3
359,2023-04-07,141,1,6,AUTO HONDA FIT 2016,1,28040,28040,3
361,2023-04-08,96,1,6,AUTO HONDA FIT 2016,1,28040,28040,1
362,2023-04-08,11,1,6,AUTO HONDA FIT 2016,1,28040,28040,4
377,2023-04-08,32,1,10,CAMIONETA HONDA CR-Z 2015,1,35870,35870,3
440,2023-04-08,197,1,43,BATERÍA DE 18 PLACAS,7,117,819,2
411,2023-04-09,84,2,41,AMORTIGUADORES POSTERIORES,1,126,126,4
420,2023-04-09,146,1,42,"LLANTAS 18""",2,37,74,3
444,2023-04-09,26,2,43,BATERÍA DE 18 PLACAS,5,117,585,1
371,2023-04-10,75,1,8,CAMIONETA HONDA ELEMENT 2013,1,38711,38711,1
392,2023-04-10,152,1,39,FILTRO DE COMBUSTIBLE,10,157,1570,1
365,2023-04-11,92,1,6,AUTO HONDA FIT 2016,1,28040,28040,3
372,2023-04-11,158,1,8,CAMIONETA HONDA ELEMENT 2013,1,38711,38711,4
393,2023-04-11,6,1,39,FILTRO DE COMBUSTIBLE,1,157,157,2
355,2023-04-12,32,1,5,AUTO HONDA PILOT 2013,1,34640,34640,3
375,2023-04-12,151,2,10,CAMIONETA HONDA CR-Z 2015,1,35870,35870,4
419,2023-04-12,65,2,42,"LLANTAS 18""",3,37,111,1
438,2023-04-13,52,2,43,BATERÍA DE 18 PLACAS,5,117,585,3
364,2023-04-14,191,1,6,AUTO HONDA FIT 2016,1,28040,28040,4
422,2023-04-14,146,2,42,"LLANTAS 18""",9,37,333,1
439,2023-04-14,44,1,43,BATERÍA DE 18 PLACAS,1,117,117,3
349,2023-04-15,9,1,4,AUTO HONDA CRV 2014,1,25905,25905,2
356,2023-04-15,139,1,5,AUTO HONDA PILOT 2013,1,34640,34640,2
424,2023-04-17,83,2,42,"LLANTAS 18""",9,37,333,3
380,2023-04-18,131,2,38,ACEITE DE MOTOR 5W30 FULL SINTÉTICO,2,102,204,3
423,2023-04-20,156,1,42,"LLANTAS 18""",3,37,111,2
432,2023-04-20,145,2,42,"LLANTAS 18""",4,37,148,1
353,2023-04-22,128,1,5,AUTO HONDA PILOT 2013,1,34640,34640,1
366,2023-04-22,76,1,7,AUTO HONDA CITY 2016,1,28639,28639,4
373,2023-04-22,49,1,9,CAMIONETA HONDA CROSSTOUR 2013,1,32948,32948,3
426,2023-04-22,1,1,42,"LLANTAS 18""",4,37,148,4
436,2023-04-22,94,1,42,"LLANTAS 18""",1,37,37,3
350,2023-04-23,62,1,4,AUTO HONDA CRV 2014,1,25905,25905,2
412,2023-04-25,5,2,41,AMORTIGUADORES POSTERIORES,1,126,126,4
433,2023-04-25,57,2,42,"LLANTAS 18""",4,37,148,4
363,2023-04-26,39,2,6,AUTO HONDA FIT 2016,1,28040,28040,2
441,2023-04-26,146,2,43,BATERÍA DE 18 PLACAS,1,117,117,2
378,2023-04-27,6,1,10,CAMIONETA HONDA CR-Z 2015,1,35870,35870,3
431,2023-04-27,94,1,42,"LLANTAS 18""",3,37,111,1
434,2023-04-27,180,2,42,"LLANTAS 18""",15,37,555,2
435,2023-04-27,64,1,42,"LLANTAS 18""",2,37,74,4
437,2023-04-27,63,1,43,BATERÍA DE 18 PLACAS,6,117,702,1
425,2023-04-28,38,2,42,"LLANTAS 18""",18,37,666,3
498,2023-05-03,182,2,41,AMORTIGUADORES POSTERIORES,1,96,96,1
446,2023-05-06,23,1,2,AUTO HONDA CIVIC 2014,1,23139,23139,1
465,2023-05-07,112,1,10,CAMIONETA HONDA CR-Z 2015,1,43506,43506,2
473,2023-05-07,5,2,38,ACEITE DE MOTOR 5W30 FULL SINTÉTICO,14,113,1582,3
458,2023-05-09,124,1,7,AUTO HONDA CITY 2016,1,29673,29673,3
450,2023-05-10,29,1,3,AUTO HONDA ODISSEY 2013,1,22326,22326,4
466,2023-05-10,194,1,10,CAMIONETA HONDA CR-Z 2015,1,43506,43506,2
502,2023-05-10,80,1,42,"LLANTAS 18""",19,87,1653,2
448,2023-05-13,155,1,2,AUTO HONDA CIVIC 2014,1,23139,23139,2
445,2023-05-14,8,1,2,AUTO HONDA CIVIC 2014,1,23139,23139,4
514,2023-05-15,170,1,43,BATERÍA DE 18 PLACAS,4,106,424,2
512,2023-05-17,87,2,43,BATERÍA DE 18 PLACAS,5,106,530,1
477,2023-05-18,129,2,38,ACEITE DE MOTOR 5W30 FULL SINTÉTICO,1,113,113,3
510,2023-05-19,81,1,42,"LLANTAS 18""",1,87,87,3
515,2023-05-21,23,1,43,BATERÍA DE 18 PLACAS,15,106,1590,3
447,2023-05-25,4,1,2,AUTO HONDA CIVIC 2014,1,23139,23139,1
455,2023-05-26,162,1,7,AUTO HONDA CITY 2016,1,29673,29673,4
449,2023-05-27,160,1,3,AUTO HONDA ODISSEY 2013,1,22326,22326,4
452,2023-05-28,57,1,4,AUTO HONDA CRV 2014,1,26856,26856,1
508,2023-05-28,177,2,42,"LLANTAS 18""",17,87,1479,1
509,2023-05-28,167,1,42,"LLANTAS 18""",2,87,174,1
522,2023-06-01,142,1,2,AUTO HONDA CIVIC 2014,1,28100,28100,3
542,2023-06-02,100,2,6,AUTO HONDA FIT 2016,1,26714,26714,3
544,2023-06-02,196,2,6,AUTO HONDA FIT 2016,1,26714,26714,2
615,2023-06-04,155,1,43,BATERÍA DE 18 PLACAS,1,99,99,1
616,2023-06-05,89,1,43,BATERÍA DE 18 PLACAS,5,99,495,3
541,2023-06-06,17,1,6,AUTO HONDA FIT 2016,1,26714,26714,4
516,2023-06-08,113,1,1,AUTO HONDA ACCORD 2014,1,23221,23221,3
558,2023-06-08,37,1,11,CAMIONETA HONDA RID LINE PICK UP 2014,1,36458,36458,2
568,2023-06-09,127,1,39,FILTRO DE COMBUSTIBLE,11,122,1342,2
610,2023-06-09,26,2,43,BATERÍA DE 18 PLACAS,5,99,495,4
524,2023-06-10,193,1,2,AUTO HONDA CIVIC 2014,1,28100,28100,3
531,2023-06-10,30,1,4,AUTO HONDA CRV 2014,1,27599,27599,1
539,2023-06-11,92,1,5,AUTO HONDA PILOT 2013,1,33314,33314,4
565,2023-06-11,47,2,38,ACEITE DE MOTOR 5W30 FULL SINTÉTICO,11,126,1386,1
528,2023-06-12,187,1,3,AUTO HONDA ODISSEY 2013,1,18426,18426,4
543,2023-06-12,107,1,6,AUTO HONDA FIT 2016,1,26714,26714,2
549,2023-06-12,128,1,8,CAMIONETA HONDA ELEMENT 2013,1,37054,37054,4
597,2023-06-12,152,2,42,"LLANTAS 18""",12,71,852,3
609,2023-06-12,92,1,43,BATERÍA DE 18 PLACAS,1,99,99,2
613,2023-06-12,193,2,43,BATERÍA DE 18 PLACAS,2,99,198,1
551,2023-06-14,160,1,9,CAMIONETA HONDA CROSSTOUR 2013,1,36987,36987,2
608,2023-06-14,181,1,43,BATERÍA DE 18 PLACAS,16,99,1584,3
521,2023-06-16,144,2,2,AUTO HONDA CIVIC 2014,1,28100,28100,3
601,2023-06-16,115,2,42,"LLANTAS 18""",18,71,1278,3
560,2023-06-17,29,2,38,ACEITE DE MOTOR 5W30 FULL SINTÉTICO,5,126,630,4
611,2023-06-18,111,1,43,BATERÍA DE 18 PLACAS,12,99,1188,4
535,2023-06-19,49,1,5,AUTO HONDA PILOT 2013,1,33314,33314,2
536,2023-06-19,71,1,5,AUTO HONDA PILOT 2013,1,33314,33314,2
617,2023-06-20,192,1,43,BATERÍA DE 18 PLACAS,1,99,99,2
529,2023-06-21,3,1,4,AUTO HONDA CRV 2014,1,27599,27599,2
566,2023-06-21,159,2,38,ACEITE DE MOTOR 5W30 FULL SINTÉTICO,20,126,2520,2
555,2023-06-22,37,2,10,CAMIONETA HONDA CR-Z 2015,1,35460,35460,1
569,2023-06-22,123,1,39,FILTRO DE COMBUSTIBLE,1,122,122,2
603,2023-06-22,90,2,42,"LLANTAS 18""",11,71,781,1
612,2023-06-22,58,2,43,BATERÍA DE 18 PLACAS,10,99,990,2
596,2023-06-23,33,2,42,"LLANTAS 18""",2,71,142,4
599,2023-06-23,193,2,42,"LLANTAS 18""",8,71,568,3
600,2023-06-23,88,2,42,"LLANTAS 18""",18,71,1278,1
602,2023-06-23,180,2,42,"LLANTAS 18""",19,71,1349,2
526,2023-06-25,70,1,3,AUTO HONDA ODISSEY 2013,1,18426,18426,4
561,2023-06-25,53,2,38,ACEITE DE MOTOR 5W30 FULL SINTÉTICO,4,126,504,3
598,2023-06-25,24,2,42,"LLANTAS 18""",11,71,781,4
614,2023-06-26,63,2,43,BATERÍA DE 18 PLACAS,4,99,396,2
607,2023-06-27,179,2,43,BATERÍA DE 18 PLACAS,7,99,693,4
725,2023-07-01,75,2,43,BATERÍA DE 18 PLACAS,15,128,1920,4
662,2023-07-02,31,1,11,CAMIONETA HONDA RID LINE PICK UP 2014,1,44599,44599,4
730,2023-07-02,12,2,43,BATERÍA DE 18 PLACAS,1,128,128,3
644,2023-07-03,158,2,6,AUTO HONDA FIT 2016,1,23814,23814,1
652,2023-07-03,164,1,8,CAMIONETA HONDA ELEMENT 2013,1,33456,33456,3
635,2023-07-04,20,1,5,AUTO HONDA PILOT 2013,1,27703,27703,3
641,2023-07-04,78,1,6,AUTO HONDA FIT 2016,1,23814,23814,2
729,2023-07-04,142,1,43,BATERÍA DE 18 PLACAS,1,128,128,4
627,2023-07-06,193,1,4,AUTO HONDA CRV 2014,1,24489,24489,4
712,2023-07-06,68,2,42,"LLANTAS 18""",5,72,360,2
726,2023-07-06,24,1,43,BATERÍA DE 18 PLACAS,3,128,384,3
642,2023-07-07,90,2,6,AUTO HONDA FIT 2016,1,23814,23814,1
731,2023-07-07,96,1,43,BATERÍA DE 18 PLACAS,1,128,128,4
643,2023-07-09,15,2,6,AUTO HONDA FIT 2016,1,23814,23814,3
718,2023-07-09,27,2,42,"LLANTAS 18""",15,72,1080,1
720,2023-07-10,21,2,42,"LLANTAS 18""",2,72,144,2
728,2023-07-11,158,1,43,BATERÍA DE 18 PLACAS,2,128,256,1
628,2023-07-12,54,1,4,AUTO HONDA CRV 2014,1,24489,24489,2
710,2023-07-12,40,2,42,"LLANTAS 18""",3,72,216,4
621,2023-07-13,163,1,1,AUTO HONDA ACCORD 2014,1,25070,25070,1
632,2023-07-14,60,1,4,AUTO HONDA CRV 2014,1,24489,24489,4
660,2023-07-15,148,1,11,CAMIONETA HONDA RID LINE PICK UP 2014,1,44599,44599,4
618,2023-07-16,161,1,1,AUTO HONDA ACCORD 2014,1,25070,25070,1
634,2023-07-16,164,1,5,AUTO HONDA PILOT 2013,1,27703,27703,2
619,2023-07-17,174,1,1,AUTO HONDA ACCORD 2014,1,25070,25070,2
639,2023-07-17,119,1,5,AUTO HONDA PILOT 2013,1,27703,27703,4
709,2023-07-18,132,2,42,"LLANTAS 18""",13,72,936,1
708,2023-07-19,72,2,42,"LLANTAS 18""",3,72,216,4
719,2023-07-20,157,2,42,"LLANTAS 18""",4,72,288,2
724,2023-07-20,4,2,43,BATERÍA DE 18 PLACAS,7,128,896,2
727,2023-07-20,58,1,43,BATERÍA DE 18 PLACAS,6,128,768,3
631,2023-07-23,162,1,4,AUTO HONDA CRV 2014,1,24489,24489,4
661,2023-07-23,163,1,11,CAMIONETA HONDA RID LINE PICK UP 2014,1,44599,44599,1
633,2023-07-24,125,1,4,AUTO HONDA CRV 2014,1,24489,24489,2
723,2023-07-25,197,1,43,BATERÍA DE 18 PLACAS,10,128,1280,4
625,2023-07-26,87,1,3,AUTO HONDA ODISSEY 2013,1,31009,31009,2
654,2023-07-27,3,1,9,CAMIONETA HONDA CROSSTOUR 2013,1,40899,40899,1
680,2023-07-28,42,1,39,FILTRO DE COMBUSTIBLE,13,147,1911,3
759,2023-08-01,62,1,7,AUTO HONDA CITY 2016,1,31943,31943,3
745,2023-08-04,151,1,4,AUTO HONDA CRV 2014,1,20597,20597,2
817,2023-08-04,183,2,42,"LLANTAS 18""",3,65,195,1
754,2023-08-05,88,2,6,AUTO HONDA FIT 2016,1,34187,34187,1
769,2023-08-05,87,1,9,CAMIONETA HONDA CROSSTOUR 2013,1,40285,40285,4
778,2023-08-05,90,1,11,CAMIONETA HONDA RID LINE PICK UP 2014,1,45697,45697,2
821,2023-08-05,92,1,42,"LLANTAS 18""",13,65,845,2
751,2023-08-06,188,1,5,AUTO HONDA PILOT 2013,1,22007,22007,3
830,2023-08-06,79,1,43,BATERÍA DE 18 PLACAS,13,110,1430,4
824,2023-08-07,113,2,42,"LLANTAS 18""",11,65,715,1
743,2023-08-08,187,1,3,AUTO HONDA ODISSEY 2013,1,35914,35914,3
822,2023-08-08,127,2,42,"LLANTAS 18""",6,65,390,4
815,2023-08-09,126,2,42,"LLANTAS 18""",9,65,585,2
762,2023-08-10,58,1,7,AUTO HONDA CITY 2016,1,31943,31943,1
756,2023-08-12,48,2,6,AUTO HONDA FIT 2016,1,34187,34187,1
819,2023-08-12,78,2,42,"LLANTAS 18""",12,65,780,3
829,2023-08-12,184,2,43,BATERÍA DE 18 PLACAS,14,110,1540,2
735,2023-08-14,155,1,1,AUTO HONDA ACCORD 2014,1,21830,21830,3
763,2023-08-14,12,1,7,AUTO HONDA CITY 2016,1,31943,31943,4
764,2023-08-14,182,1,8,CAMIONETA HONDA ELEMENT 2013,1,36842,36842,3
752,2023-08-15,92,2,6,AUTO HONDA FIT 2016,1,34187,34187,2
776,2023-08-15,185,1,11,CAMIONETA HONDA RID LINE PICK UP 2014,1,45697,45697,2
820,2023-08-15,21,2,42,"LLANTAS 18""",15,65,975,3
777,2023-08-17,126,1,11,CAMIONETA HONDA RID LINE PICK UP 2014,1,45697,45697,1
816,2023-08-17,160,1,42,"LLANTAS 18""",19,65,1235,3
