id_compra,Fecha,Proveedor,Almacen,Producto,Cantidad,Precio_Compra,Monto
20,2022-12-31,Prov Vehículos,LA MOLINA,AUTO HONDA FIT 2016,1,17000,17000
21,2022-12-31,Prov Vehículos,LA MOLINA,AUTO HONDA CITY 2016,3,16500,49500
22,2022-12-31,Prov Vehículos,LA MOLINA,CAMIONETA HONDA ELEMENT 2013,2,21500,43000
23,2022-12-31,Prov Vehículos,LA MOLINA,CAMIONETA HONDA CROSSTOUR 2013,2,22500,45000
24,2022-12-31,Prov Vehículos,LA MOLINA,CAMIONETA HONDA CR-Z 2015,2,22000,44000
25,2022-12-31,Prov Vehículos,LA MOLINA,CAMIONETA HONDA RID LINE PICK UP 2014,1,25000,25000
26,2022-12-31,Prov Repuestos,LA MOLINA,ACEITE DE MOTOR 5W30 FULL SINTÉTICO,43,86,3698
27,2022-12-31,Prov Repuestos,LA MOLINA,FILTRO DE COMBUSTIBLE,39,98,3822
28,2022-12-31,Prov Repuestos,LA MOLINA,AMORTIGUADORES DELANTEROS,23,224,5152
29,2022-12-31,Prov Repuestos,LA MOLINA,AMORTIGUADORES POSTERIORES,37,91,3367
30,2022-12-31,Prov Repuestos,LA MOLINA,"LLANTAS 18""",36,60,2160
31,2022-12-31,Prov Repuestos,LA MOLINA,BATERÍA DE 18 PLACAS,34,98,3332
32,2023-01-15,Prov Vehículos,SURCO,AUTO HONDA ACCORD 2014,5,18000,90000
33,2023-01-15,Prov Vehículos,SURCO,AUTO HONDA CIVIC 2014,5,16500,82500
34,2023-01-15,Prov Vehículos,SURCO,AUTO HONDA ODISSEY 2013,5,18500,92500
35,2023-01-15,Prov Vehículos,SURCO,AUTO HONDA CRV 2014,1,17500,17500
36,2023-01-15,Prov Vehículos,SURCO,AUTO HONDA PILOT 2013,5,17000,85000
37,2023-01-15,Prov Repuestos,SURCO,ACEITE DE MOTOR 5W30 FULL SINTÉTICO,10,86,860
38,2023-01-15,Prov Repuestos,SURCO,AMORTIGUADORES DELANTEROS,7,224,1568
39,2023-01-15,Prov Repuestos,SURCO,AMORTIGUADORES POSTERIORES,10,91,910
40,2023-01-15,Prov Repuestos,SURCO,"LLANTAS 18""",8,60,480
41,2023-01-15,Prov Vehículos,LA MOLINA,AUTO HONDA ACCORD 2014,5,18000,90000
42,2023-01-15,Prov Vehículos,LA MOLINA,AUTO HONDA CIVIC 2014,5,16500,82500
43,2023-01-15,Prov Vehículos,LA MOLINA,AUTO HONDA ODISSEY 2013,4,18500,74000
44,2023-01-15,Prov Vehículos,LA MOLINA,AUTO HONDA CRV 2014,2,17500,35000
45,2023-02-01,Prov Repuestos,SURCO,ACEITE DE MOTOR 5W30 FULL SINTÉTICO,10,92,920
46,2023-02-01,Prov Repuestos,SURCO,AMORTIGUADORES DELANTEROS,10,242,2420
47,2023-02-01,Prov Repuestos,SURCO,AMORTIGUADORES POSTERIORES,10,81,810
48,2023-02-01,Prov Repuestos,SURCO,"LLANTAS 18""",10,67,670
49,2023-02-01,Prov Repuestos,SURCO,BATERÍA DE 18 PLACAS,5,75,375
50,2023-02-01,Prov Repuestos,LA MOLINA,ACEITE DE MOTOR 5W30 FULL SINTÉTICO,10,92,920
51,2023-02-01,Prov Repuestos,LA MOLINA,AMORTIGUADORES DELANTEROS,10,242,2420
52,2023-02-01,Prov Repuestos,LA MOLINA,AMORTIGUADORES POSTERIORES,10,81,810
53,2023-02-01,Prov Repuestos,LA MOLINA,"LLANTAS 18""",10,67,670
54,2023-02-01,Prov Repuestos,LA MOLINA,BATERÍA DE 18 PLACAS,5,75,375
55,2023-02-15,Prov Vehículos,SURCO,AUTO HONDA ACCORD 2014,2,19500,39000
56,2023-02-15,Prov Vehículos,SURCO,AUTO HONDA CIVIC 2014,2,18500,37000
57,2023-02-15,Prov Vehículos,SURCO,AUTO HONDA ODISSEY 2013,1,18500,18500
58,2023-02-15,Prov Vehículos,SURCO,AUTO HONDA CRV 2014,4,17500,70000
59,2023-02-15,Prov Vehículos,SURCO,AUTO HONDA PILOT 2013,5,17000,85000
60,2023-02-15,Prov Vehículos,SURCO,AUTO HONDA FIT 2016,5,14500,72500
61,2023-02-15,Prov Vehículos,SURCO,AUTO HONDA CITY 2016,3,16500,49500
62,2023-02-15,Prov Repuestos,SURCO,ACEITE DE MOTOR 5W30 FULL SINTÉTICO,10,92,920
63,2023-02-15,Prov Repuestos,SURCO,AMORTIGUADORES DELANTEROS,10,242,2420
64,2023-02-15,Prov Repuestos,SURCO,AMORTIGUADORES POSTERIORES,10,81,810
65,2023-02-15,Prov Repuestos,SURCO,"LLANTAS 18""",10,67,670
66,2023-02-15,Prov Repuestos,SURCO,BATERÍA DE 18 PLACAS,5,75,375
67,2023-02-15,Prov Vehículos,LA MOLINA,AUTO HONDA ACCORD 2014,2,19500,39000
68,2023-02-15,Prov Vehículos,LA MOLINA,AUTO HONDA CIVIC 2014,2,18500,37000
69,2023-02-15,Prov Vehículos,LA MOLINA,AUTO HONDA ODISSEY 2013,1,18500,18500
70,2023-02-15,Prov Vehículos,LA MOLINA,AUTO HONDA CRV 2014,3,17500,52500
71,2023-02-15,Prov Repuestos,LA MOLINA,ACEITE DE MOTOR 5W30 FULL SINTÉTICO,10,92,920
72,2023-02-15,Prov Repuestos,LA MOLINA,AMORTIGUADORES DELANTEROS,10,242,2420
73,2023-02-15,Prov Repuestos,LA MOLINA,AMORTIGUADORES POSTERIORES,10,81,810
74,2023-02-15,Prov Repuestos,LA MOLINA,"LLANTAS 18""",10,67,670
75,2023-02-15,Prov Repuestos,LA MOLINA,BATERÍA DE 18 PLACAS,5,75,375
76,2023-03-01,Prov Repuestos,SURCO,ACEITE DE MOTOR 5W30 FULL SINTÉTICO,10,105,1050
77,2023-03-01,Prov Repuestos,SURCO,FILTRO DE COMBUSTIBLE,1,95,95
78,2023-03-01,Prov Repuestos,SURCO,AMORTIGUADORES DELANTEROS,10,201,2010
79,2023-03-01,Prov Repuestos,SURCO,AMORTIGUADORES POSTERIORES,10,75,750
80,2023-03-01,Prov Repuestos,SURCO,"LLANTAS 18""",10,64,640
81,2023-03-01,Prov Repuestos,SURCO,BATERÍA DE 18 PLACAS,5,58,290
82,2023-03-01,Prov Repuestos,LA MOLINA,ACEITE DE MOTOR 5W30 FULL SINTÉTICO,10,105,1050
83,2023-03-01,Prov Repuestos,LA MOLINA,AMORTIGUADORES DELANTEROS,10,201,2010
84,2023-03-01,Prov Repuestos,LA MOLINA,AMORTIGUADORES POSTERIORES,10,75,750
85,2023-03-01,Prov Repuestos,LA MOLINA,"LLANTAS 18""",10,64,640
86,2023-03-01,Prov Repuestos,LA MOLINA,BATERÍA DE 18 PLACAS,5,58,290
87,2023-03-15,Prov Vehículos,SURCO,AUTO HONDA ACCORD 2014,3,16500,49500
88,2023-03-15,Prov Vehículos,SURCO,AUTO HONDA ODISSEY 2013,4,18500,74000
89,2023-03-15,Prov Vehículos,SURCO,AUTO HONDA CRV 2014,1,17500,17500
90,2023-03-15,Prov Vehículos,SURCO,AUTO HONDA PILOT 2013,2,17000,34000
91,2023-03-15,Prov Vehículos,SURCO,AUTO HONDA FIT 2016,3,14500,43500
92,2023-03-15,Prov Vehículos,SURCO,AUTO HONDA CITY 2016,5,17000,85000
93,2023-03-15,Prov Repuestos,SURCO,ACEITE DE MOTOR 5W30 FULL SINTÉTICO,10,105,1050
94,2023-03-15,Prov Repuestos,SURCO,FILTRO DE COMBUSTIBLE,1,95,95
95,2023-03-15,Prov Repuestos,SURCO,AMORTIGUADORES DELANTEROS,10,201,2010
96,2023-03-15,Prov Repuestos,SURCO,AMORTIGUADORES POSTERIORES,10,75,750
97,2023-03-15,Prov Repuestos,SURCO,"LLANTAS 18""",10,64,640
98,2023-03-15,Prov Repuestos,SURCO,BATERÍA DE 18 PLACAS,5,58,290
99,2023-03-15,Prov Vehículos,LA MOLINA,AUTO HONDA ACCORD 2014,4,16500,66000
100,2023-03-15,Prov Vehículos,LA MOLINA,AUTO HONDA CIVIC 2014,1,16000,16000
101,2023-03-15,Prov Vehículos,LA MOLINA,AUTO HONDA ODISSEY 2013,2,18500,37000
102,2023-03-15,Prov Vehículos,LA MOLINA,AUTO HONDA CRV 2014,3,17500,52500
103,2023-03-15,Prov Repuestos,LA MOLINA,ACEITE DE MOTOR 5W30 FULL SINTÉTICO,10,105,1050
104,2023-03-15,Prov Repuestos,LA MOLINA,AMORTIGUADORES DELANTEROS,8,201,1608
105,2023-03-15,Prov Repuestos,LA MOLINA,AMORTIGUADORES POSTERIORES,10,75,750
106,2023-03-15,Prov Repuestos,LA MOLINA,"LLANTAS 18""",3,64,192
107,2023-03-15,Prov Repuestos,LA MOLINA,BATERÍA DE 18 PLACAS,5,58,290
108,2023-04-01,Prov Vehículos,SURCO,AUTO HONDA ACCORD 2014,2,16500,33000
109,2023-04-01,Prov Repuestos,SURCO,ACEITE DE MOTOR 5W30 FULL SINTÉTICO,10,121,1210
110,2023-04-01,Prov Repuestos,SURCO,AMORTIGUADORES DELANTEROS,10,207,2070
111,2023-04-01,Prov Repuestos,SURCO,AMORTIGUADORES POSTERIORES,10,89,890
112,2023-04-01,Prov Repuestos,SURCO,"LLANTAS 18""",10,54,540
113,2023-04-01,Prov Repuestos,SURCO,BATERÍA DE 18 PLACAS,5,85,425
114,2023-04-01,Prov Repuestos,LA MOLINA,ACEITE DE MOTOR 5W30 FULL SINTÉTICO,10,121,1210
115,2023-04-01,Prov Repuestos,LA MOLINA,AMORTIGUADORES DELANTEROS,10,207,2070
116,2023-04-01,Prov Repuestos,LA MOLINA,AMORTIGUADORES POSTERIORES,10,89,890
117,2023-04-01,Prov Repuestos,LA MOLINA,"LLANTAS 18""",10,54,540
118,2023-04-01,Prov Repuestos,LA MOLINA,BATERÍA DE 18 PLACAS,5,85,425
119,2023-04-15,Prov Vehículos,SURCO,AUTO HONDA ACCORD 2014,5,16500,82500
120,2023-04-15,Prov Vehículos,SURCO,AUTO HONDA CIVIC 2014,2,16000,32000
121,2023-04-15,Prov Vehículos,SURCO,AUTO HONDA ODISSEY 2013,1,15500,15500
122,2023-04-15,Prov Vehículos,SURCO,AUTO HONDA CRV 2014,2,18500,37000
123,2023-04-15,Prov Vehículos,SURCO,AUTO HONDA PILOT 2013,2,18000,36000
124,2023-04-15,Prov Vehículos,SURCO,AUTO HONDA FIT 2016,5,14000,70000
125,2023-04-15,Prov Vehículos,SURCO,AUTO HONDA CITY 2016,1,16000,16000
126,2023-04-15,Prov Repuestos,SURCO,ACEITE DE MOTOR 5W30 FULL SINTÉTICO,10,121,1210
127,2023-04-15,Prov Repuestos,SURCO,FILTRO DE COMBUSTIBLE,1,108,108
128,2023-04-15,Prov Repuestos,SURCO,AMORTIGUADORES DELANTEROS,10,207,2070
129,2023-04-15,Prov Repuestos,SURCO,AMORTIGUADORES POSTERIORES,10,89,890
130,2023-04-15,Prov Repuestos,SURCO,"LLANTAS 18""",10,54,540
131,2023-04-15,Prov Repuestos,SURCO,BATERÍA DE 18 PLACAS,5,85,425
132,2023-04-15,Prov Vehículos,LA MOLINA,AUTO HONDA ACCORD 2014,2,16500,33000
133,2023-04-15,Prov Vehículos,LA MOLINA,AUTO HONDA CIVIC 2014,4,16000,64000
134,2023-04-15,Prov Vehículos,LA MOLINA,AUTO HONDA ODISSEY 2013,3,15500,46500
135,2023-04-15,Prov Vehículos,LA MOLINA,AUTO HONDA CRV 2014,2,18500,37000
136,2023-04-15,Prov Repuestos,LA MOLINA,ACEITE DE MOTOR 5W30 FULL SINTÉTICO,10,121,1210
137,2023-04-15,Prov Repuestos,LA MOLINA,FILTRO DE COMBUSTIBLE,1,108,108
138,2023-04-15,Prov Repuestos,LA MOLINA,AMORTIGUADORES DELANTEROS,10,207,2070
139,2023-04-15,Prov Repuestos,LA MOLINA,AMORTIGUADORES POSTERIORES,10,89,890
140,2023-04-15,Prov Repuestos,LA MOLINA,"LLANTAS 18""",10,54,540
141,2023-04-15,Prov Repuestos,LA MOLINA,BATERÍA DE 18 PLACAS,5,85,425
142,2023-05-01,Prov Repuestos,SURCO,ACEITE DE MOTOR 5W30 FULL SINTÉTICO,10,95,950
143,2023-05-01,Prov Repuestos,SURCO,FILTRO DE COMBUSTIBLE,1,101,101
144,2023-05-01,Prov Repuestos,SURCO,AMORTIGUADORES DELANTEROS,10,197,1970
145,2023-05-01,Prov Repuestos,SURCO,AMORTIGUADORES POSTERIORES,10,106,1060
146,2023-05-01,Prov Repuestos,SURCO,"LLANTAS 18""",10,81,810
147,2023-05-01,Prov Repuestos,SURCO,BATERÍA DE 18 PLACAS,5,96,480
148,2023-05-01,Prov Repuestos,LA MOLINA,ACEITE DE MOTOR 5W30 FULL SINTÉTICO,10,95,950
149,2023-05-01,Prov Repuestos,LA MOLINA,FILTRO DE COMBUSTIBLE,1,101,101
150,2023-05-01,Prov Repuestos,LA MOLINA,AMORTIGUADORES DELANTEROS,10,197,1970
151,2023-05-01,Prov Repuestos,LA MOLINA,AMORTIGUADORES POSTERIORES,10,106,1060
152,2023-05-01,Prov Repuestos,LA MOLINA,"LLANTAS 18""",10,81,810
153,2023-05-01,Prov Repuestos,LA MOLINA,BATERÍA DE 18 PLACAS,5,96,480
154,2023-05-15,Prov Vehículos,SURCO,AUTO HONDA CIVIC 2014,3,20000,60000
155,2023-05-15,Prov Vehículos,SURCO,AUTO HONDA ODISSEY 2013,5,15500,77500
156,2023-05-15,Prov Vehículos,SURCO,AUTO HONDA CRV 2014,2,18500,37000
157,2023-05-15,Prov Vehículos,SURCO,AUTO HONDA PILOT 2013,5,15500,77500
158,2023-05-15,Prov Vehículos,SURCO,AUTO HONDA FIT 2016,1,19000,19000
159,2023-05-15,Prov Vehículos,SURCO,AUTO HONDA CITY 2016,2,16000,32000
160,2023-05-15,Prov Repuestos,SURCO,ACEITE DE MOTOR 5W30 FULL SINTÉTICO,10,95,950
161,2023-05-15,Prov Repuestos,SURCO,FILTRO DE COMBUSTIBLE,1,101,101
162,2023-05-15,Prov Repuestos,SURCO,AMORTIGUADORES DELANTEROS,10,197,1970
163,2023-05-15,Prov Repuestos,SURCO,AMORTIGUADORES POSTERIORES,10,106,1060
164,2023-05-15,Prov Repuestos,SURCO,"LLANTAS 18""",7,81,567
165,2023-05-15,Prov Repuestos,SURCO,BATERÍA DE 18 PLACAS,5,96,480
166,2023-05-15,Prov Vehículos,LA MOLINA,AUTO HONDA ACCORD 2014,2,17000,34000
167,2023-05-15,Prov Vehículos,LA MOLINA,AUTO HONDA CIVIC 2014,2,20000,40000
168,2023-05-15,Prov Vehículos,LA MOLINA,AUTO HONDA ODISSEY 2013,2,15500,31000
169,2023-05-15,Prov Vehículos,LA MOLINA,AUTO HONDA CRV 2014,2,18500,37000
170,2023-05-15,Prov Repuestos,LA MOLINA,ACEITE DE MOTOR 5W30 FULL SINTÉTICO,10,95,950
171,2023-05-15,Prov Repuestos,LA MOLINA,FILTRO DE COMBUSTIBLE,1,101,101
172,2023-05-15,Prov Repuestos,LA MOLINA,AMORTIGUADORES DELANTEROS,10,197,1970
173,2023-05-15,Prov Repuestos,LA MOLINA,AMORTIGUADORES POSTERIORES,10,106,1060
174,2023-05-15,Prov Repuestos,LA MOLINA,"LLANTAS 18""",10,81,810
175,2023-05-15,Prov Repuestos,LA MOLINA,BATERÍA DE 18 PLACAS,5,96,480
176,2023-06-01,Prov Repuestos,SURCO,ACEITE DE MOTOR 5W30 FULL SINTÉTICO,10,109,1090
177,2023-06-01,Prov Repuestos,SURCO,FILTRO DE COMBUSTIBLE,1,91,91
178,2023-06-01,Prov Repuestos,SURCO,AMORTIGUADORES DELANTEROS,10,217,2170
179,2023-06-01,Prov Repuestos,SURCO,AMORTIGUADORES POSTERIORES,10,109,1090
180,2023-06-01,Prov Repuestos,SURCO,"LLANTAS 18""",10,55,550
181,2023-06-01,Prov Repuestos,SURCO,BATERÍA DE 18 PLACAS,5,82,410
182,2023-06-01,Prov Repuestos,LA MOLINA,ACEITE DE MOTOR 5W30 FULL SINTÉTICO,10,109,1090
183,2023-06-01,Prov Repuestos,LA MOLINA,AMORTIGUADORES DELANTEROS,10,217,2170
184,2023-06-01,Prov Repuestos,LA MOLINA,AMORTIGUADORES POSTERIORES,10,109,1090
185,2023-06-01,Prov Repuestos,LA MOLINA,"LLANTAS 18""",10,55,550
186,2023-06-01,Prov Repuestos,LA MOLINA,BATERÍA DE 18 PLACAS,5,82,410
187,2023-06-15,Prov Vehículos,SURCO,AUTO HONDA CIVIC 2014,2,20000,40000
188,2023-06-15,Prov Vehículos,SURCO,AUTO HONDA ODISSEY 2013,3,15000,45000
189,2023-06-15,Prov Vehículos,SURCO,AUTO HONDA PILOT 2013,5,16500,82500
190,2023-06-15,Prov Vehículos,SURCO,AUTO HONDA FIT 2016,3,15000,45000
191,2023-06-15,Prov Vehículos,SURCO,AUTO HONDA CITY 2016,5,16000,80000
192,2023-06-15,Prov Repuestos,SURCO,ACEITE DE MOTOR 5W30 FULL SINTÉTICO,10,109,1090
193,2023-06-15,Prov Repuestos,SURCO,FILTRO DE COMBUSTIBLE,1,91,91
194,2023-06-15,Prov Repuestos,SURCO,AMORTIGUADORES DELANTEROS,10,217,2170
195,2023-06-15,Prov Repuestos,SURCO,AMORTIGUADORES POSTERIORES,8,109,872
196,2023-06-15,Prov Repuestos,SURCO,"LLANTAS 18""",10,55,550
197,2023-06-15,Prov Repuestos,SURCO,BATERÍA DE 18 PLACAS,5,82,410
198,2023-06-15,Prov Vehículos,LA MOLINA,AUTO HONDA ACCORD 2014,1,15000,15000
199,2023-06-15,Prov Vehículos,LA MOLINA,AUTO HONDA CIVIC 2014,2,20000,40000
200,2023-06-15,Prov Vehículos,LA MOLINA,AUTO HONDA ODISSEY 2013,3,15000,45000
201,2023-06-15,Prov Vehículos,LA MOLINA,AUTO HONDA CRV 2014,1,18500,18500
202,2023-06-15,Prov Repuestos,LA MOLINA,ACEITE DE MOTOR 5W30 FULL SINTÉTICO,10,109,1090
203,2023-06-15,Prov Repuestos,LA MOLINA,FILTRO DE COMBUSTIBLE,1,91,91
204,2023-06-15,Prov Repuestos,LA MOLINA,AMORTIGUADORES DELANTEROS,10,217,2170
205,2023-06-15,Prov Repuestos,LA MOLINA,AMORTIGUADORES POSTERIORES,8,109,872
206,2023-06-15,Prov Repuestos,LA MOLINA,"LLANTAS 18""",10,55,550
207,2023-06-15,Prov Repuestos,LA MOLINA,BATERÍA DE 18 PLACAS,5,82,410
208,2023-07-01,Prov Repuestos,SURCO,ACEITE DE MOTOR 5W30 FULL SINTÉTICO,10,108,1080
209,2023-07-01,Prov Repuestos,SURCO,FILTRO DE COMBUSTIBLE,1,85,85
210,2023-07-01,Prov Repuestos,SURCO,AMORTIGUADORES DELANTEROS,10,229,2290
211,2023-07-01,Prov Repuestos,SURCO,AMORTIGUADORES POSTERIORES,10,85,850
212,2023-07-01,Prov Repuestos,SURCO,"LLANTAS 18""",10,61,610
213,2023-07-01,Prov Repuestos,SURCO,BATERÍA DE 18 PLACAS,5,100,500
214,2023-07-01,Prov Repuestos,LA MOLINA,ACEITE DE MOTOR 5W30 FULL SINTÉTICO,10,108,1080
215,2023-07-01,Prov Repuestos,LA MOLINA,FILTRO DE COMBUSTIBLE,1,85,85
216,2023-07-01,Prov Repuestos,LA MOLINA,AMORTIGUADORES DELANTEROS,10,229,2290
217,2023-07-01,Prov Repuestos,LA MOLINA,AMORTIGUADORES POSTERIORES,10,85,850
218,2023-07-01,Prov Repuestos,LA MOLINA,"LLANTAS 18""",10,61,610
219,2023-07-01,Prov Repuestos,LA MOLINA,BATERÍA DE 18 PLACAS,5,100,500
220,2023-07-15,Prov Vehículos,SURCO,AUTO HONDA ACCORD 2014,4,15500,62000
221,2023-07-15,Prov Vehículos,SURCO,AUTO HONDA CIVIC 2014,3,19000,57000
222,2023-07-15,Prov Vehículos,SURCO,AUTO HONDA ODISSEY 2013,2,18000,36000
223,2023-07-15,Prov Vehículos,SURCO,AUTO HONDA CRV 2014,4,18000,72000
224,2023-07-15,Prov Vehículos,SURCO,AUTO HONDA PILOT 2013,2,16500,33000
225,2023-07-15,Prov Vehículos,SURCO,AUTO HONDA FIT 2016,2,16000,32000
226,2023-07-15,Prov Repuestos,SURCO,ACEITE DE MOTOR 5W30 FULL SINTÉTICO,10,108,1080
227,2023-07-15,Prov Repuestos,SURCO,FILTRO DE COMBUSTIBLE,1,85,85
228,2023-07-15,Prov Repuestos,SURCO,AMORTIGUADORES DELANTEROS,10,229,2290
229,2023-07-15,Prov Repuestos,SURCO,AMORTIGUADORES POSTERIORES,10,85,850
230,2023-07-15,Prov Repuestos,SURCO,"LLANTAS 18""",10,61,610
231,2023-07-15,Prov Repuestos,SURCO,BATERÍA DE 18 PLACAS,5,100,500
232,2023-07-15,Prov Vehículos,LA MOLINA,AUTO HONDA ACCORD 2014,2,15500,31000
233,2023-07-15,Prov Vehículos,LA MOLINA,AUTO HONDA CIVIC 2014,4,19000,76000
234,2023-07-15,Prov Vehículos,LA MOLINA,AUTO HONDA ODISSEY 2013,3,18000,54000
235,2023-07-15,Prov Vehículos,LA MOLINA,AUTO HONDA CRV 2014,4,18000,72000
236,2023-07-15,Prov Repuestos,LA MOLINA,ACEITE DE MOTOR 5W30 FULL SINTÉTICO,8,108,864
237,2023-07-15,Prov Repuestos,LA MOLINA,FILTRO DE COMBUSTIBLE,1,85,85
238,2023-07-15,Prov Repuestos,LA MOLINA,AMORTIGUADORES DELANTEROS,10,229,2290
239,2023-07-15,Prov Repuestos,LA MOLINA,AMORTIGUADORES POSTERIORES,10,85,850
240,2023-07-15,Prov Repuestos,LA MOLINA,"LLANTAS 18""",10,61,610
241,2023-07-15,Prov Repuestos,LA MOLINA,BATERÍA DE 18 PLACAS,5,100,500
242,2023-08-01,Prov Repuestos,SURCO,ACEITE DE MOTOR 5W30 FULL SINTÉTICO,10,111,1110
243,2023-08-01,Prov Repuestos,SURCO,FILTRO DE COMBUSTIBLE,1,101,101
244,2023-08-01,Prov Repuestos,SURCO,AMORTIGUADORES DELANTEROS,10,218,2180
245,2023-08-01,Prov Repuestos,SURCO,AMORTIGUADORES POSTERIORES,10,85,850
246,2023-08-01,Prov Repuestos,SURCO,"LLANTAS 18""",10,75,750
247,2023-08-01,Prov Repuestos,SURCO,BATERÍA DE 18 PLACAS,5,69,345
248,2023-08-01,Prov Repuestos,LA MOLINA,ACEITE DE MOTOR 5W30 FULL SINTÉTICO,10,111,1110
249,2023-08-01,Prov Repuestos,LA MOLINA,FILTRO DE COMBUSTIBLE,1,101,101
250,2023-08-01,Prov Repuestos,LA MOLINA,AMORTIGUADORES DELANTEROS,10,218,2180
251,2023-08-01,Prov Repuestos,LA MOLINA,AMORTIGUADORES POSTERIORES,10,85,850
252,2023-08-01,Prov Repuestos,LA MOLINA,"LLANTAS 18""",10,75,750
253,2023-08-01,Prov Repuestos,LA MOLINA,BATERÍA DE 18 PLACAS,5,69,345
254,2023-08-15,Prov Vehículos,SURCO,AUTO HONDA ACCORD 2014,3,15500,46500
255,2023-08-15,Prov Vehículos,SURCO,AUTO HONDA CIVIC 2014,3,19500,58500
256,2023-08-15,Prov Vehículos,SURCO,AUTO HONDA ODISSEY 2013,1,18000,18000
257,2023-08-15,Prov Vehículos,SURCO,AUTO HONDA CRV 2014,1,16500,16500
258,2023-08-15,Prov Vehículos,SURCO,AUTO HONDA PILOT 2013,5,20000,100000
259,2023-08-15,Prov Vehículos,SURCO,AUTO HONDA FIT 2016,2,16000,32000
260,2023-08-15,Prov Vehículos,SURCO,AUTO HONDA CITY 2016,5,13500,67500
261,2023-08-15,Prov Repuestos,SURCO,ACEITE DE MOTOR 5W30 FULL SINTÉTICO,10,111,1110
262,2023-08-15,Prov Repuestos,SURCO,FILTRO DE COMBUSTIBLE,1,101,101
263,2023-08-15,Prov Repuestos,SURCO,AMORTIGUADORES DELANTEROS,10,218,2180
264,2023-08-15,Prov Repuestos,SURCO,AMORTIGUADORES POSTERIORES,10,85,850
265,2023-08-15,Prov Repuestos,SURCO,"LLANTAS 18""",10,75,750
266,2023-08-15,Prov Repuestos,SURCO,BATERÍA DE 18 PLACAS,5,69,345
267,2023-08-15,Prov Vehículos,LA MOLINA,AUTO HONDA ACCORD 2014,4,15500,62000
268,2023-08-15,Prov Vehículos,LA MOLINA,AUTO HONDA CIVIC 2014,2,19500,39000
269,2023-08-15,Prov Vehículos,LA MOLINA,AUTO HONDA ODISSEY 2013,1,18000,18000
270,2023-08-15,Prov Vehículos,LA MOLINA,AUTO HONDA CRV 2014,2,16500,33000
271,2023-08-15,Prov Repuestos,LA MOLINA,ACEITE DE MOTOR 5W30 FULL SINTÉTICO,10,111,1110
272,2023-08-15,Prov Repuestos,LA MOLINA,FILTRO DE COMBUSTIBLE,1,101,101
273,2023-08-15,Prov Repuestos,LA MOLINA,AMORTIGUADORES DELANTEROS,8,218,1744
274,2023-08-15,Prov Repuestos,LA MOLINA,AMORTIGUADORES POSTERIORES,10,85,850
275,2023-08-15,Prov Repuestos,LA MOLINA,"LLANTAS 18""",10,75,750
276,2023-08-15,Prov Repuestos,LA MOLINA,BATERÍA DE 18 PLACAS,5,69,345
277,2023-09-01,Prov Repuestos,SURCO,ACEITE DE MOTOR 5W30 FULL SINTÉTICO,10,104,1040
278,2023-09-01,Prov Repuestos,SURCO,FILTRO DE COMBUSTIBLE,1,103,103
279,2023-09-01,Prov Repuestos,SURCO,AMORTIGUADORES DELANTEROS,10,192,1920
280,2023-09-01,Prov Repuestos,SURCO,AMORTIGUADORES POSTERIORES,10,95,950
281,2023-09-01,Prov Repuestos,SURCO,"LLANTAS 18""",10,54,540
282,2023-09-01,Prov Repuestos,SURCO,BATERÍA DE 18 PLACAS,5,80,400
