id_venta,Fecha,Cliente,Almacen,Producto,Cantidad_Vendida,Precio_Venta,Monto_Venta,Vendedor
25,2023-01-02,Cliente 1,SURCO,ACEITE DE MOTOR 5W30 FULL SINTÉTICO,3,100.07,300.22,Vendedor 6
26,2023-01-02,Cliente 41,SURCO,FILTRO DE COMBUSTIBLE,1,136.62,136.62,Vendedor 5
27,2023-01-02,Cliente 36,LA MOLINA,AMORTIGUADORES DELANTEROS,1,225.68,225.68,Vendedor 7
28,2023-01-02,Cliente 8,SURCO,AMORTIGUADORES POSTERIORES,3,106.98,320.94,Vendedor 2
29,2023-01-02,Cliente 24,SURCO,"LLANTAS 18""",1,78.4,78.4,Vendedor 10
30,2023-01-02,Cliente 28,SURCO,BATERÍA DE 18 PLACAS,1,131.23,131.23,Vendedor 3
31,2023-01-03,Cliente 20,SURCO,AUTO HONDA ACCORD 2014,1,29320.97,29320.97,Vendedor 6
32,2023-01-03,Cliente 23,SURCO,AUTO HONDA CIVIC 2014,1,30018.95,30018.95,Vendedor 4
33,2023-01-03,Cliente 43,LA MOLINA,AUTO HONDA PILOT 2013,1,16522.93,16522.93,Vendedor 2
34,2023-01-03,Cliente 50,LA MOLINA,CAMIONETA HONDA ELEMENT 2013,1,36311.65,36311.65,Vendedor 9
35,2023-01-03,Cliente 40,SURCO,CAMIONETA HONDA CR-Z 2015,1,31123.81,31123.81,Vendedor 3
36,2023-01-03,Cliente 12,SURCO,ACEITE DE MOTOR 5W30 FULL SINTÉTICO,2,100.07,200.15,Vendedor 7
37,2023-01-03,Cliente 12,SURCO,FILTRO DE COMBUSTIBLE,1,136.62,136.62,Vendedor 6
38,2023-01-03,Cliente 18,SURCO,AMORTIGUADORES DELANTEROS,2,225.68,451.36,Vendedor 3
39,2023-01-03,Cliente 3,LA MOLINA,AMORTIGUADORES POSTERIORES,1,106.98,106.98,Vendedor 8
40,2023-01-03,Cliente 30,SURCO,"LLANTAS 18""",1,78.4,78.4,Vendedor 6
41,2023-01-03,Cliente 15,LA MOLINA,BATERÍA DE 18 PLACAS,1,131.23,131.23,Vendedor 4
42,2023-01-04,Cliente 43,SURCO,AUTO HONDA ACCORD 2014,1,29320.97,29320.97,Vendedor 4
43,2023-01-04,Cliente 22,SURCO,AUTO HONDA CIVIC 2014,1,30018.95,30018.95,Vendedor 5
44,2023-01-04,Cliente 23,LA MOLINA,ACEITE DE MOTOR 5W30 FULL SINTÉTICO,1,100.07,100.07,Vendedor 9
45,2023-01-04,Cliente 44,LA MOLINA,FILTRO DE COMBUSTIBLE,1,136.62,136.62,Vendedor 9
46,2023-01-04,Cliente 8,SURCO,AMORTIGUADORES DELANTEROS,2,225.68,451.36,Vendedor 5
47,2023-01-04,Cliente 3,LA MOLINA,AMORTIGUADORES POSTERIORES,2,106.98,213.96,Vendedor 2
48,2023-01-04,Cliente 47,LA MOLINA,"LLANTAS 18""",2,78.4,156.8,Vendedor 6
49,2023-01-04,Cliente 39,LA MOLINA,BATERÍA DE 18 PLACAS,1,131.23,131.23,Vendedor 9
50,2023-01-05,Cliente 37,LA MOLINA,ACEITE DE MOTOR 5W30 FULL SINTÉTICO,1,100.07,100.07,Vendedor 4
51,2023-01-05,Cliente 3,LA MOLINA,FILTRO DE COMBUSTIBLE,1,136.62,136.62,Vendedor 7
52,2023-01-05,Cliente 24,SURCO,AMORTIGUADORES DELANTEROS,1,225.68,225.68,Vendedor 7
53,2023-01-05,Cliente 40,LA MOLINA,AMORTIGUADORES POSTERIORES,1,106.98,106.98,Vendedor 6
54,2023-01-05,Cliente 33,LA MOLINA,"LLANTAS 18""",1,78.4,78.4,Vendedor 5
55,2023-01-05,Cliente 21,LA MOLINA,BATERÍA DE 18 PLACAS,1,131.23,131.23,Vendedor 7
56,2023-01-06,Cliente 13,SURCO,ACEITE DE MOTOR 5W30 FULL SINTÉTICO,3,100.07,300.22,Vendedor 7
57,2023-01-06,Cliente 44,LA MOLINA,FILTRO DE COMBUSTIBLE,1,136.62,136.62,Vendedor 3
58,2023-01-06,Cliente 26,LA MOLINA,AMORTIGUADORES DELANTEROS,3,225.68,677.05,Vendedor 9
59,2023-01-06,Cliente 19,LA MOLINA,AMORTIGUADORES POSTERIORES,1,106.98,106.98,Vendedor 4
60,2023-01-06,Cliente 30,LA MOLINA,"LLANTAS 18""",2,78.4,156.8,Vendedor 8
61,2023-01-06,Cliente 44,LA MOLINA,BATERÍA DE 18 PLACAS,1,131.23,131.23,Vendedor 4
62,2023-01-07,Cliente 48,LA MOLINA,ACEITE DE MOTOR 5W30 FULL SINTÉTICO,5,100.07,500.37,Vendedor 3
63,2023-01-07,Cliente 19,SURCO,AMORTIGUADORES DELANTEROS,3,225.68,677.05,Vendedor 9
64,2023-01-07,Cliente 49,SURCO,AMORTIGUADORES POSTERIORES,3,106.98,320.94,Vendedor 4
65,2023-01-07,Cliente 13,SURCO,"LLANTAS 18""",2,78.4,156.8,Vendedor 3
66,2023-01-07,Cliente 3,SURCO,BATERÍA DE 18 PLACAS,1,131.23,131.23,Vendedor 4
67,2023-01-08,Cliente 30,SURCO,ACEITE DE MOTOR 5W30 FULL SINTÉTICO,4,100.07,400.29,Vendedor 7
68,2023-01-08,Cliente 46,SURCO,AMORTIGUADORES DELANTEROS,3,225.68,677.05,Vendedor 7
69,2023-01-08,Cliente 16,LA MOLINA,AMORTIGUADORES POSTERIORES,4,106.98,427.92,Vendedor 3
70,2023-01-08,Cliente 50,SURCO,"LLANTAS 18""",1,78.4,78.4,Vendedor 7
71,2023-01-08,Cliente 12,SURCO,BATERÍA DE 18 PLACAS,1,131.23,131.23,Vendedor 9
72,2023-01-09,Cliente 36,SURCO,ACEITE DE MOTOR 5W30 FULL SINTÉTICO,3,100.07,300.22,Vendedor 4
73,2023-01-09,Cliente 9,LA MOLINA,AMORTIGUADORES DELANTEROS,1,225.68,225.68,Vendedor 8
74,2023-01-09,Cliente 40,LA MOLINA,AMORTIGUADORES POSTERIORES,3,106.98,320.94,Vendedor 9
75,2023-01-09,Cliente 11,LA MOLINA,"LLANTAS 18""",2,78.4,156.8,Vendedor 8
76,2023-01-09,Cliente 17,LA MOLINA,BATERÍA DE 18 PLACAS,1,131.23,131.23,Vendedor 4
77,2023-01-10,Cliente 41,LA MOLINA,ACEITE DE MOTOR 5W30 FULL SINTÉTICO,3,100.07,300.22,Vendedor 4
78,2023-01-10,Cliente 5,LA MOLINA,AMORTIGUADORES DELANTEROS,2,225.68,451.36,Vendedor 5
79,2023-01-10,Cliente 22,LA MOLINA,AMORTIGUADORES POSTERIORES,2,106.98,213.96,Vendedor 6
80,2023-01-10,Cliente 10,SURCO,"LLANTAS 18""",1,78.4,78.4,Vendedor 4
81,2023-01-10,Cliente 45,LA MOLINA,BATERÍA DE 18 PLACAS,1,131.23,131.23,Vendedor 3
82,2023-01-11,Cliente 27,LA MOLINA,ACEITE DE MOTOR 5W30 FULL SINTÉTICO,2,100.07,200.15,Vendedor 7
83,2023-01-11,Cliente 27,LA MOLINA,AMORTIGUADORES DELANTEROS,2,225.68,451.36,Vendedor 1
84,2023-01-11,Cliente 25,LA MOLINA,AMORTIGUADORES POSTERIORES,2,106.98,213.96,Vendedor 10
85,2023-01-11,Cliente 31,LA MOLINA,"LLANTAS 18""",1,78.4,78.4,Vendedor 1
86,2023-01-11,Cliente 49,LA MOLINA,BATERÍA DE 18 PLACAS,2,131.23,262.45,Vendedor 7
87,2023-01-12,Cliente 32,LA MOLINA,ACEITE DE MOTOR 5W30 FULL SINTÉTICO,4,100.07,400.29,Vendedor 4
88,2023-01-12,Cliente 32,LA MOLINA,AMORTIGUADORES DELANTEROS,2,225.68,451.36,Vendedor 1
89,2023-01-12,Cliente 43,LA MOLINA,AMORTIGUADORES POSTERIORES,4,106.98,427.92,Vendedor 7
90,2023-01-12,Cliente 9,LA MOLINA,"LLANTAS 18""",1,78.4,78.4,Vendedor 10
91,2023-01-12,Cliente 38,LA MOLINA,BATERÍA DE 18 PLACAS,1,131.23,131.23,Vendedor 10
92,2023-01-13,Cliente 42,LA MOLINA,ACEITE DE MOTOR 5W30 FULL SINTÉTICO,1,100.07,100.07,Vendedor 7
93,2023-01-13,Cliente 12,LA MOLINA,AMORTIGUADORES DELANTEROS,1,225.68,225.68,Vendedor 1
94,2023-01-13,Cliente 21,LA MOLINA,AMORTIGUADORES POSTERIORES,3,106.98,320.94,Vendedor 4
95,2023-01-13,Cliente 22,LA MOLINA,"LLANTAS 18""",2,78.4,156.8,Vendedor 7
96,2023-01-13,Cliente 17,LA MOLINA,BATERÍA DE 18 PLACAS,2,131.23,262.45,Vendedor 2
97,2023-01-14,Cliente 48,LA MOLINA,ACEITE DE MOTOR 5W30 FULL SINTÉTICO,4,100.07,400.29,Vendedor 9
98,2023-01-14,Cliente 15,LA MOLINA,AMORTIGUADORES DELANTEROS,1,225.68,225.68,Vendedor 2
99,2023-01-14,Cliente 16,SURCO,AMORTIGUADORES POSTERIORES,1,106.98,106.98,Vendedor 4
100,2023-01-14,Cliente 16,SURCO,"LLANTAS 18""",1,78.4,78.4,Vendedor 3
101,2023-01-14,Cliente 37,SURCO,BATERÍA DE 18 PLACAS,2,131.23,262.45,Vendedor 4
102,2023-01-15,Cliente 50,LA MOLINA,ACEITE DE MOTOR 5W30 FULL SINTÉTICO,4,100.07,400.29,Vendedor 6
103,2023-01-15,Cliente 50,SURCO,AMORTIGUADORES DELANTEROS,1,225.68,225.68,Vendedor 3
104,2023-01-15,Cliente 38,SURCO,AMORTIGUADORES POSTERIORES,1,106.98,106.98,Vendedor 1
105,2023-01-15,Cliente 26,LA MOLINA,"LLANTAS 18""",2,78.4,156.8,Vendedor 4
106,2023-01-15,Cliente 7,SURCO,BATERÍA DE 18 PLACAS,1,131.23,131.23,Vendedor 5
107,2023-01-16,Cliente 37,LA MOLINA,ACEITE DE MOTOR 5W30 FULL SINTÉTICO,6,100.07,600.44,Vendedor 1
108,2023-01-16,Cliente 43,LA MOLINA,AMORTIGUADORES DELANTEROS,3,225.68,677.05,Vendedor 6
109,2023-01-16,Cliente 1,LA MOLINA,AMORTIGUADORES POSTERIORES,1,106.98,106.98,Vendedor 7
110,2023-01-16,Cliente 28,SURCO,"LLANTAS 18""",2,78.4,156.8,Vendedor 6
111,2023-01-16,Cliente 28,SURCO,BATERÍA DE 18 PLACAS,2,131.23,262.45,Vendedor 3
112,2023-01-17,Cliente 40,LA MOLINA,ACEITE DE MOTOR 5W30 FULL SINTÉTICO,6,100.07,600.44,Vendedor 9
113,2023-01-17,Cliente 28,LA MOLINA,AMORTIGUADORES DELANTEROS,4,225.68,902.73,Vendedor 10
114,2023-01-17,Cliente 16,LA MOLINA,AMORTIGUADORES POSTERIORES,3,106.98,320.94,Vendedor 2
115,2023-01-17,Cliente 16,LA MOLINA,"LLANTAS 18""",2,78.4,156.8,Vendedor 8
116,2023-01-17,Cliente 2,LA MOLINA,BATERÍA DE 18 PLACAS,2,131.23,262.45,Vendedor 8
117,2023-01-18,Cliente 32,SURCO,ACEITE DE MOTOR 5W30 FULL SINTÉTICO,3,100.07,300.22,Vendedor 4
118,2023-01-18,Cliente 22,LA MOLINA,AMORTIGUADORES DELANTEROS,3,225.68,677.05,Vendedor 5
119,2023-01-18,Cliente 36,LA MOLINA,AMORTIGUADORES POSTERIORES,5,106.98,534.9,Vendedor 1
120,2023-01-18,Cliente 6,SURCO,"LLANTAS 18""",3,78.4,235.2,Vendedor 4
121,2023-01-18,Cliente 36,LA MOLINA,BATERÍA DE 18 PLACAS,2,131.23,262.45,Vendedor 4
122,2023-01-19,Cliente 42,LA MOLINA,ACEITE DE MOTOR 5W30 FULL SINTÉTICO,5,100.07,500.37,Vendedor 8
123,2023-01-19,Cliente 6,SURCO,AMORTIGUADORES DELANTEROS,4,225.68,902.73,Vendedor 5
124,2023-01-19,Cliente 45,LA MOLINA,AMORTIGUADORES POSTERIORES,2,106.98,213.96,Vendedor 4
125,2023-01-19,Cliente 31,LA MOLINA,"LLANTAS 18""",2,78.4,156.8,Vendedor 9
126,2023-01-19,Cliente 48,LA MOLINA,BATERÍA DE 18 PLACAS,2,131.23,262.45,Vendedor 9
127,2023-01-20,Cliente 45,SURCO,ACEITE DE MOTOR 5W30 FULL SINTÉTICO,3,100.07,300.22,Vendedor 8
128,2023-01-20,Cliente 17,SURCO,AMORTIGUADORES DELANTEROS,3,225.68,677.05,Vendedor 4
129,2023-01-20,Cliente 21,SURCO,AMORTIGUADORES POSTERIORES,1,106.98,106.98,Vendedor 2
130,2023-01-20,Cliente 13,SURCO,"LLANTAS 18""",3,78.4,235.2,Vendedor 4
131,2023-01-20,Cliente 47,LA MOLINA,BATERÍA DE 18 PLACAS,2,131.23,262.45,Vendedor 10
132,2023-01-21,Cliente 7,SURCO,ACEITE DE MOTOR 5W30 FULL SINTÉTICO,4,100.07,400.29,Vendedor 4
133,2023-01-21,Cliente 24,SURCO,AMORTIGUADORES DELANTEROS,2,225.68,451.36,Vendedor 3
134,2023-01-21,Cliente 46,SURCO,AMORTIGUADORES POSTERIORES,3,106.98,320.94,Vendedor 9
135,2023-01-21,Cliente 3,LA MOLINA,"LLANTAS 18""",1,78.4,78.4,Vendedor 1
136,2023-01-21,Cliente 41,SURCO,BATERÍA DE 18 PLACAS,2,131.23,262.45,Vendedor 8
137,2023-01-22,Cliente 31,LA MOLINA,AMORTIGUADORES POSTERIORES,3,106.98,320.94,Vendedor 8
138,2023-01-22,Cliente 12,LA MOLINA,"LLANTAS 18""",2,78.4,156.8,Vendedor 1
139,2023-01-22,Cliente 8,LA MOLINA,BATERÍA DE 18 PLACAS,2,131.23,262.45,Vendedor 2
140,2023-01-23,Cliente 10,SURCO,AMORTIGUADORES POSTERIORES,1,106.98,106.98,Vendedor 3
141,2023-01-23,Cliente 6,LA MOLINA,"LLANTAS 18""",3,78.4,235.2,Vendedor 4
142,2023-01-23,Cliente 39,LA MOLINA,BATERÍA DE 18 PLACAS,1,131.23,131.23,Vendedor 10
143,2023-01-24,Cliente 29,SURCO,AMORTIGUADORES POSTERIORES,4,106.98,427.92,Vendedor 5
144,2023-01-24,Cliente 20,LA MOLINA,"LLANTAS 18""",3,78.4,235.2,Vendedor 10
145,2023-01-24,Cliente 49,SURCO,BATERÍA DE 18 PLACAS,1,131.23,131.23,Vendedor 4
146,2023-01-25,Cliente 12,SURCO,"LLANTAS 18""",1,78.4,78.4,Vendedor 9
147,2023-01-25,Cliente 1,SURCO,BATERÍA DE 18 PLACAS,1,131.23,131.23,Vendedor 7
148,2023-01-26,Cliente 3,LA MOLINA,"LLANTAS 18""",4,78.4,313.6,Vendedor 4
149,2023-01-26,Cliente 45,LA MOLINA,BATERÍA DE 18 PLACAS,2,131.23,262.45,Vendedor 8
150,2023-01-27,Cliente 8,LA MOLINA,"LLANTAS 18""",2,78.4,156.8,Vendedor 9
151,2023-01-27,Cliente 18,SURCO,BATERÍA DE 18 PLACAS,1,131.23,131.23,Vendedor 3
152,2023-01-28,Cliente 29,LA MOLINA,"LLANTAS 18""",3,78.4,235.2,Vendedor 2
153,2023-01-28,Cliente 45,LA MOLINA,BATERÍA DE 18 PLACAS,2,131.23,262.45,Vendedor 7
154,2023-01-29,Cliente 6,SURCO,"LLANTAS 18""",1,78.4,78.4,Vendedor 10
155,2023-01-29,Cliente 48,LA MOLINA,BATERÍA DE 18 PLACAS,1,131.23,131.23,Vendedor 6
156,2023-01-30,Cliente 49,SURCO,BATERÍA DE 18 PLACAS,3,131.23,393.68,Vendedor 3
157,2023-01-31,Cliente 41,LA MOLINA,BATERÍA DE 18 PLACAS,3,131.23,393.68,Vendedor 8
158,2023-02-01,Cliente 31,LA MOLINA,AUTO HONDA ODISSEY 2013,1,27669.34,27669.34,Vendedor 6
159,2023-02-01,Cliente 22,LA MOLINA,AUTO HONDA CRV 2014,1,27662.63,27662.63,Vendedor 6
160,2023-02-01,Cliente 11,SURCO,AUTO HONDA CITY 2016,1,22474.96,22474.96,Vendedor 6
161,2023-02-01,Cliente 45,LA MOLINA,CAMIONETA HONDA CROSSTOUR 2013,1,34051.19,34051.19,Vendedor 8
162,2023-02-01,Cliente 43,SURCO,CAMIONETA HONDA CR-Z 2015,1,35215.04,35215.04,Vendedor 7
163,2023-02-01,Cliente 30,SURCO,CAMIONETA HONDA RID LINE PICK UP 2014,1,46774.15,46774.15,Vendedor 2
164,2023-02-01,Cliente 21,LA MOLINA,FILTRO DE COMBUSTIBLE,1,132.65,132.65,Vendedor 2
165,2023-02-01,Cliente 13,LA MOLINA,BATERÍA DE 18 PLACAS,2,96.23,192.46,Vendedor 9
166,2023-02-02,Cliente 40,LA MOLINA,AUTO HONDA CRV 2014,1,27662.63,27662.63,Vendedor 8
167,2023-02-02,Cliente 49,LA MOLINA,AUTO HONDA CITY 2016,1,22474.96,22474.96,Vendedor 1
168,2023-02-02,Cliente 18,SURCO,CAMIONETA HONDA CROSSTOUR 2013,1,34051.19,34051.19,Vendedor 9
169,2023-02-02,Cliente 19,SURCO,CAMIONETA HONDA CR-Z 2015,1,35215.04,35215.04,Vendedor 8
170,2023-02-02,Cliente 8,SURCO,CAMIONETA HONDA RID LINE PICK UP 2014,1,46774.15,46774.15,Vendedor 1
171,2023-02-02,Cliente 20,SURCO,FILTRO DE COMBUSTIBLE,1,132.65,132.65,Vendedor 9
172,2023-02-02,Cliente 30,LA MOLINA,BATERÍA DE 18 PLACAS,1,96.23,96.23,Vendedor 2
173,2023-02-03,Cliente 32,SURCO,AUTO HONDA CRV 2014,1,27662.63,27662.63,Vendedor 5
174,2023-02-03,Cliente 27,LA MOLINA,AUTO HONDA CITY 2016,1,22474.96,22474.96,Vendedor 8
175,2023-02-03,Cliente 30,SURCO,ACEITE DE MOTOR 5W30 FULL SINTÉTICO,4,103.41,413.65,Vendedor 9
176,2023-02-03,Cliente 25,SURCO,FILTRO DE COMBUSTIBLE,1,132.65,132.65,Vendedor 4
177,2023-02-03,Cliente 18,SURCO,AMORTIGUADORES DELANTEROS,2,355.94,711.88,Vendedor 7
178,2023-02-03,Cliente 1,LA MOLINA,AMORTIGUADORES POSTERIORES,3,101.64,304.93,Vendedor 5
179,2023-02-03,Cliente 10,LA MOLINA,"LLANTAS 18""",3,80.08,240.24,Vendedor 8
180,2023-02-03,Cliente 22,LA MOLINA,BATERÍA DE 18 PLACAS,2,96.23,192.46,Vendedor 9
181,2023-02-04,Cliente 30,SURCO,AUTO HONDA CRV 2014,1,27662.63,27662.63,Vendedor 6
182,2023-02-04,Cliente 45,SURCO,AUTO HONDA CITY 2016,1,22474.96,22474.96,Vendedor 4
183,2023-02-04,Cliente 50,SURCO,ACEITE DE MOTOR 5W30 FULL SINTÉTICO,4,103.41,413.65,Vendedor 7
184,2023-02-04,Cliente 21,SURCO,FILTRO DE COMBUSTIBLE,1,132.65,132.65,Vendedor 8
185,2023-02-04,Cliente 43,LA MOLINA,AMORTIGUADORES DELANTEROS,4,355.94,1423.75,Vendedor 3
186,2023-02-04,Cliente 9,SURCO,AMORTIGUADORES POSTERIORES,4,101.64,406.57,Vendedor 9
187,2023-02-04,Cliente 29,SURCO,"LLANTAS 18""",3,80.08,240.24,Vendedor 2
188,2023-02-04,Cliente 47,SURCO,BATERÍA DE 18 PLACAS,2,96.23,192.46,Vendedor 3
189,2023-02-05,Cliente 42,LA MOLINA,AUTO HONDA CITY 2016,1,22474.96,22474.96,Vendedor 3
190,2023-02-05,Cliente 17,LA MOLINA,ACEITE DE MOTOR 5W30 FULL SINTÉTICO,1,103.41,103.41,Vendedor 6
191,2023-02-05,Cliente 42,LA MOLINA,FILTRO DE COMBUSTIBLE,1,132.65,132.65,Vendedor 2
192,2023-02-05,Cliente 21,LA MOLINA,AMORTIGUADORES DELANTEROS,3,355.94,1067.81,Vendedor 8
193,2023-02-05,Cliente 40,SURCO,AMORTIGUADORES POSTERIORES,5,101.64,508.21,Vendedor 2
194,2023-02-05,Cliente 15,LA MOLINA,"LLANTAS 18""",2,80.08,160.16,Vendedor 2
195,2023-02-05,Cliente 49,SURCO,BATERÍA DE 18 PLACAS,2,96.23,192.46,Vendedor 2
196,2023-02-06,Cliente 45,SURCO,ACEITE DE MOTOR 5W30 FULL SINTÉTICO,2,103.41,206.82,Vendedor 5
197,2023-02-06,Cliente 3,SURCO,FILTRO DE COMBUSTIBLE,1,132.65,132.65,Vendedor 6
198,2023-02-06,Cliente 23,LA MOLINA,AMORTIGUADORES DELANTEROS,1,355.94,355.94,Vendedor 6
199,2023-02-06,Cliente 16,SURCO,AMORTIGUADORES POSTERIORES,1,101.64,101.64,Vendedor 9
200,2023-02-06,Cliente 11,SURCO,"LLANTAS 18""",4,80.08,320.32,Vendedor 3
201,2023-02-06,Cliente 40,SURCO,BATERÍA DE 18 PLACAS,1,96.23,96.23,Vendedor 4
202,2023-02-07,Cliente 15,LA MOLINA,ACEITE DE MOTOR 5W30 FULL SINTÉTICO,4,103.41,413.65,Vendedor 8
203,2023-02-07,Cliente 30,LA MOLINA,FILTRO DE COMBUSTIBLE,1,132.65,132.65,Vendedor 5
204,2023-02-07,Cliente 19,LA MOLINA,AMORTIGUADORES DELANTEROS,1,355.94,355.94,Vendedor 9
205,2023-02-07,Cliente 29,LA MOLINA,AMORTIGUADORES POSTERIORES,2,101.64,203.29,Vendedor 6
206,2023-02-07,Cliente 41,LA MOLINA,"LLANTAS 18""",5,80.08,400.4,Vendedor 7
207,2023-02-08,Cliente 13,LA MOLINA,ACEITE DE MOTOR 5W30 FULL SINTÉTICO,4,103.41,413.65,Vendedor 7
208,2023-02-08,Cliente 7,LA MOLINA,FILTRO DE COMBUSTIBLE,1,132.65,132.65,Vendedor 4
209,2023-02-08,Cliente 37,LA MOLINA,AMORTIGUADORES DELANTEROS,1,355.94,355.94,Vendedor 5
210,2023-02-08,Cliente 43,LA MOLINA,AMORTIGUADORES POSTERIORES,3,101.64,304.93,Vendedor 7
211,2023-02-08,Cliente 37,SURCO,"LLANTAS 18""",3,80.08,240.24,Vendedor 1
212,2023-02-09,Cliente 50,LA MOLINA,AUTO HONDA ACCORD 2014,1,31962.22,31962.22,Vendedor 4
213,2023-02-09,Cliente 15,LA MOLINA,AUTO HONDA CIVIC 2014,1,33708.66,33708.66,Vendedor 4
214,2023-02-09,Cliente 44,SURCO,AUTO HONDA PILOT 2013,1,16522.93,16522.93,Vendedor 3
215,2023-02-09,Cliente 20,LA MOLINA,ACEITE DE MOTOR 5W30 FULL SINTÉTICO,1,103.41,103.41,Vendedor 8
216,2023-02-09,Cliente 38,SURCO,FILTRO DE COMBUSTIBLE,1,132.65,132.65,Vendedor 6
217,2023-02-09,Cliente 19,SURCO,AMORTIGUADORES DELANTEROS,2,355.94,711.88,Vendedor 6
218,2023-02-09,Cliente 13,LA MOLINA,AMORTIGUADORES POSTERIORES,2,101.64,203.29,Vendedor 3
219,2023-02-10,Cliente 11,LA MOLINA,AUTO HONDA ACCORD 2014,1,31962.22,31962.22,Vendedor 5
220,2023-02-10,Cliente 19,LA MOLINA,AUTO HONDA CIVIC 2014,1,33708.66,33708.66,Vendedor 6
221,2023-02-10,Cliente 30,SURCO,AUTO HONDA PILOT 2013,1,16522.93,16522.93,Vendedor 2
222,2023-02-10,Cliente 44,SURCO,FILTRO DE COMBUSTIBLE,1,132.65,132.65,Vendedor 7
223,2023-02-10,Cliente 6,SURCO,AMORTIGUADORES DELANTEROS,5,355.94,1779.69,Vendedor 7
224,2023-02-11,Cliente 24,LA MOLINA,AUTO HONDA ACCORD 2014,1,31962.22,31962.22,Vendedor 5
225,2023-02-11,Cliente 41,LA MOLINA,AUTO HONDA CIVIC 2014,1,33708.66,33708.66,Vendedor 6
226,2023-02-11,Cliente 44,SURCO,AUTO HONDA PILOT 2013,1,16522.93,16522.93,Vendedor 4
227,2023-02-11,Cliente 40,SURCO,FILTRO DE COMBUSTIBLE,1,132.65,132.65,Vendedor 9
228,2023-02-11,Cliente 42,SURCO,AMORTIGUADORES DELANTEROS,1,355.94,355.94,Vendedor 2
229,2023-02-12,Cliente 8,LA MOLINA,AUTO HONDA ACCORD 2014,1,31962.22,31962.22,Vendedor 3
230,2023-02-12,Cliente 3,SURCO,AUTO HONDA CIVIC 2014,1,33708.66,33708.66,Vendedor 5
231,2023-02-12,Cliente 8,SURCO,AUTO HONDA PILOT 2013,1,16522.93,16522.93,Vendedor 2
232,2023-02-12,Cliente 25,SURCO,FILTRO DE COMBUSTIBLE,1,132.65,132.65,Vendedor 8
233,2023-02-13,Cliente 27,SURCO,AUTO HONDA PILOT 2013,1,16522.93,16522.93,Vendedor 2
234,2023-02-13,Cliente 18,LA MOLINA,FILTRO DE COMBUSTIBLE,1,132.65,132.65,Vendedor 1
