id_venta,Fecha,Cliente,Almacen,Producto,Cantidad_Vendida,Precio_Venta,Monto_Venta,Vendedor,TIPO_PRODUCTO
67,2023-01-07,Cliente 32,LA MOLINA,AMORTIGUADORES POSTERIORES,2,107.4,214.8,Vendedor 7,REPUESTOS
68,2023-01-07,Cliente 42,SURCO,"LLANTAS 18""",1,78.9,78.9,Vendedor 1,REPUESTOS
69,2023-01-07,Cliente 50,SURCO,BATERÍA DE 18 PLACAS,1,131.3,131.3,Vendedor 7,REPUESTOS
70,2023-01-08,Cliente 45,SURCO,ACEITE DE MOTOR 5W30 FULL SINTÉTICO,2,100.3,200.6,Vendedor 9,REPUESTOS
71,2023-01-08,Cliente 36,SURCO,AMORTIGUADORES DELANTEROS,2,225.8,451.6,Vendedor 4,REPUESTOS
72,2023-01-08,Cliente 9,LA MOLINA,AMORTIGUADORES POSTERIORES,1,107.4,107.4,Vendedor 8,REPUESTOS
73,2023-01-08,Cliente 40,LA MOLINA,"LLANTAS 18""",2,78.9,157.8,Vendedor 9,REPUESTOS
74,2023-01-08,Cliente 36,LA MOLINA,BATERÍA DE 18 PLACAS,1,131.3,131.3,Vendedor 8,REPUESTOS
75,2023-01-09,Cliente 29,LA MOLINA,ACEITE DE MOTOR 5W30 FULL SINTÉTICO,2,100.3,200.6,Vendedor 5,REPUESTOS
76,2023-01-09,Cliente 50,LA MOLINA,AMORTIGUADORES DELANTEROS,1,225.8,225.8,Vendedor 9,REPUESTOS
77,2023-01-09,Cliente 18,LA MOLINA,AMORTIGUADORES POSTERIORES,4,107.4,429.6,Vendedor 8,REPUESTOS
78,2023-01-09,Cliente 16,LA MOLINA,"LLANTAS 18""",1,78.9,78.9,Vendedor 5,REPUESTOS
79,2023-01-09,Cliente 21,LA MOLINA,BATERÍA DE 18 PLACAS,1,131.3,131.3,Vendedor 9,REPUESTOS
80,2023-01-10,Cliente 10,SURCO,ACEITE DE MOTOR 5W30 FULL SINTÉTICO,1,100.3,100.3,Vendedor 4,REPUESTOS
81,2023-01-10,Cliente 46,SURCO,AMORTIGUADORES DELANTEROS,2,225.8,451.6,Vendedor 4,REPUESTOS
82,2023-01-10,Cliente 27,LA MOLINA,AMORTIGUADORES POSTERIORES,1,107.4,107.4,Vendedor 6,REPUESTOS
83,2023-01-10,Cliente 4,LA MOLINA,"LLANTAS 18""",2,78.9,157.8,Vendedor 4,REPUESTOS
84,2023-01-10,Cliente 25,LA MOLINA,BATERÍA DE 18 PLACAS,1,131.3,131.3,Vendedor 10,REPUESTOS
85,2023-01-11,Cliente 31,LA MOLINA,ACEITE DE MOTOR 5W30 FULL SINTÉTICO,1,100.3,100.3,Vendedor 1,REPUESTOS
86,2023-01-11,Cliente 49,LA MOLINA,AMORTIGUADORES DELANTEROS,2,225.8,451.6,Vendedor 7,REPUESTOS
87,2023-01-11,Cliente 32,LA MOLINA,AMORTIGUADORES POSTERIORES,4,107.4,429.6,Vendedor 4,REPUESTOS
88,2023-01-11,Cliente 32,LA MOLINA,"LLANTAS 18""",2,78.9,157.8,Vendedor 1,REPUESTOS
89,2023-01-11,Cliente 43,LA MOLINA,BATERÍA DE 18 PLACAS,2,131.3,262.6,Vendedor 7,REPUESTOS
90,2023-01-12,Cliente 9,LA MOLINA,ACEITE DE MOTOR 5W30 FULL SINTÉTICO,2,100.3,200.6,Vendedor 10,REPUESTOS
91,2023-01-12,Cliente 26,SURCO,AMORTIGUADORES DELANTEROS,3,225.8,677.4,Vendedor 10,REPUESTOS
92,2023-01-12,Cliente 42,LA MOLINA,AMORTIGUADORES POSTERIORES,1,107.4,107.4,Vendedor 7,REPUESTOS
93,2023-01-12,Cliente 12,LA MOLINA,"LLANTAS 18""",1,78.9,78.9,Vendedor 1,REPUESTOS
94,2023-01-12,Cliente 21,LA MOLINA,BATERÍA DE 18 PLACAS,2,131.3,262.6,Vendedor 4,REPUESTOS
95,2023-01-13,Cliente 22,LA MOLINA,ACEITE DE MOTOR 5W30 FULL SINTÉTICO,4,100.3,401.2,Vendedor 7,REPUESTOS
96,2023-01-13,Cliente 17,LA MOLINA,AMORTIGUADORES DELANTEROS,2,225.8,451.6,Vendedor 2,REPUESTOS
97,2023-01-13,Cliente 48,LA MOLINA,AMORTIGUADORES POSTERIORES,4,107.4,429.6,Vendedor 9,REPUESTOS
98,2023-01-13,Cliente 15,LA MOLINA,"LLANTAS 18""",1,78.9,78.9,Vendedor 2,REPUESTOS
99,2023-01-13,Cliente 16,SURCO,BATERÍA DE 18 PLACAS,1,131.3,131.3,Vendedor 4,REPUESTOS
100,2023-01-14,Cliente 16,LA MOLINA,ACEITE DE MOTOR 5W30 FULL SINTÉTICO,1,100.3,100.3,Vendedor 3,REPUESTOS
101,2023-01-14,Cliente 37,SURCO,AMORTIGUADORES DELANTEROS,2,225.8,451.6,Vendedor 4,REPUESTOS
102,2023-01-14,Cliente 50,LA MOLINA,AMORTIGUADORES POSTERIORES,4,107.4,429.6,Vendedor 6,REPUESTOS
103,2023-01-14,Cliente 50,SURCO,"LLANTAS 18""",1,78.9,78.9,Vendedor 3,REPUESTOS
104,2023-01-14,Cliente 38,SURCO,BATERÍA DE 18 PLACAS,2,131.3,262.6,Vendedor 1,REPUESTOS
105,2023-01-15,Cliente 26,LA MOLINA,ACEITE DE MOTOR 5W30 FULL SINTÉTICO,3,100.3,300.9,Vendedor 4,REPUESTOS
106,2023-01-15,Cliente 7,SURCO,AMORTIGUADORES DELANTEROS,1,225.8,225.8,Vendedor 5,REPUESTOS
107,2023-01-15,Cliente 37,LA MOLINA,AMORTIGUADORES POSTERIORES,5,107.4,537.0,Vendedor 1,REPUESTOS
108,2023-01-15,Cliente 43,LA MOLINA,"LLANTAS 18""",2,78.9,157.8,Vendedor 6,REPUESTOS
109,2023-01-15,Cliente 1,LA MOLINA,BATERÍA DE 18 PLACAS,1,131.3,131.3,Vendedor 7,REPUESTOS
110,2023-01-16,Cliente 28,LA MOLINA,ACEITE DE MOTOR 5W30 FULL SINTÉTICO,4,100.3,401.2,Vendedor 6,REPUESTOS
111,2023-01-16,Cliente 28,SURCO,AMORTIGUADORES DELANTEROS,2,225.8,451.6,Vendedor 3,REPUESTOS
112,2023-01-16,Cliente 40,LA MOLINA,AMORTIGUADORES POSTERIORES,5,107.4,537.0,Vendedor 9,REPUESTOS
113,2023-01-16,Cliente 28,LA MOLINA,"LLANTAS 18""",2,78.9,157.8,Vendedor 10,REPUESTOS
114,2023-01-16,Cliente 16,LA MOLINA,BATERÍA DE 18 PLACAS,2,131.3,262.6,Vendedor 2,REPUESTOS
115,2023-01-17,Cliente 16,LA MOLINA,ACEITE DE MOTOR 5W30 FULL SINTÉTICO,3,100.3,300.9,Vendedor 8,REPUESTOS
116,2023-01-17,Cliente 2,LA MOLINA,AMORTIGUADORES DELANTEROS,4,225.8,903.2,Vendedor 8,REPUESTOS
117,2023-01-17,Cliente 32,SURCO,AMORTIGUADORES POSTERIORES,3,107.4,322.2,Vendedor 4,REPUESTOS
118,2023-01-17,Cliente 22,LA MOLINA,"LLANTAS 18""",2,78.9,157.8,Vendedor 5,REPUESTOS
119,2023-01-17,Cliente 34,SURCO,BATERÍA DE 18 PLACAS,2,131.3,262.6,Vendedor 4,REPUESTOS
120,2023-01-18,Cliente 47,SURCO,ACEITE DE MOTOR 5W30 FULL SINTÉTICO,1,100.3,100.3,Vendedor 7,REPUESTOS
121,2023-01-18,Cliente 45,SURCO,AMORTIGUADORES DELANTEROS,4,225.8,903.2,Vendedor 8,REPUESTOS
122,2023-01-18,Cliente 2,LA MOLINA,AMORTIGUADORES POSTERIORES,4,107.4,429.6,Vendedor 2,REPUESTOS
123,2023-01-18,Cliente 26,SURCO,"LLANTAS 18""",2,78.9,157.8,Vendedor 4,REPUESTOS
124,2023-01-18,Cliente 31,LA MOLINA,BATERÍA DE 18 PLACAS,2,131.3,262.6,Vendedor 9,REPUESTOS
125,2023-01-19,Cliente 28,LA MOLINA,ACEITE DE MOTOR 5W30 FULL SINTÉTICO,5,100.3,501.5,Vendedor 9,REPUESTOS
126,2023-01-19,Cliente 45,LA MOLINA,AMORTIGUADORES DELANTEROS,3,225.8,677.4,Vendedor 8,REPUESTOS
127,2023-01-19,Cliente 17,SURCO,AMORTIGUADORES POSTERIORES,3,107.4,322.2,Vendedor 4,REPUESTOS
128,2023-01-19,Cliente 21,SURCO,"LLANTAS 18""",1,78.9,78.9,Vendedor 2,REPUESTOS
129,2023-01-19,Cliente 14,SURCO,BATERÍA DE 18 PLACAS,1,131.3,131.3,Vendedor 8,REPUESTOS
130,2023-01-20,Cliente 7,LA MOLINA,ACEITE DE MOTOR 5W30 FULL SINTÉTICO,3,100.3,300.9,Vendedor 4,REPUESTOS
131,2023-01-20,Cliente 24,SURCO,AMORTIGUADORES DELANTEROS,3,225.8,677.4,Vendedor 3,REPUESTOS
132,2023-01-20,Cliente 46,SURCO,AMORTIGUADORES POSTERIORES,3,107.4,322.2,Vendedor 9,REPUESTOS
133,2023-01-20,Cliente 3,LA MOLINA,"LLANTAS 18""",1,78.9,78.9,Vendedor 1,REPUESTOS
134,2023-01-20,Cliente 41,SURCO,BATERÍA DE 18 PLACAS,2,131.3,262.6,Vendedor 8,REPUESTOS
135,2023-01-21,Cliente 37,SURCO,ACEITE DE MOTOR 5W30 FULL SINTÉTICO,2,100.3,200.6,Vendedor 5,REPUESTOS
136,2023-01-21,Cliente 29,LA MOLINA,AMORTIGUADORES DELANTEROS,4,225.8,903.2,Vendedor 6,REPUESTOS
137,2023-01-21,Cliente 17,SURCO,AMORTIGUADORES POSTERIORES,1,107.4,107.4,Vendedor 8,REPUESTOS
138,2023-01-21,Cliente 26,SURCO,"LLANTAS 18""",1,78.9,78.9,Vendedor 8,REPUESTOS
139,2023-01-21,Cliente 10,SURCO,BATERÍA DE 18 PLACAS,1,131.3,131.3,Vendedor 3,REPUESTOS
140,2023-01-22,Cliente 16,SURCO,ACEITE DE MOTOR 5W30 FULL SINTÉTICO,5,100.3,501.5,Vendedor 2,REPUESTOS
141,2023-01-22,Cliente 50,LA MOLINA,AMORTIGUADORES DELANTEROS,4,225.8,903.2,Vendedor 9,REPUESTOS
142,2023-01-22,Cliente 20,LA MOLINA,"LLANTAS 18""",2,78.9,157.8,Vendedor 10,REPUESTOS
143,2023-01-22,Cliente 37,LA MOLINA,BATERÍA DE 18 PLACAS,2,131.3,262.6,Vendedor 10,REPUESTOS
144,2023-01-23,Cliente 49,SURCO,ACEITE DE MOTOR 5W30 FULL SINTÉTICO,1,100.3,100.3,Vendedor 4,REPUESTOS
145,2023-01-23,Cliente 16,SURCO,"LLANTAS 18""",1,78.9,78.9,Vendedor 3,REPUESTOS
146,2023-01-23,Cliente 1,SURCO,BATERÍA DE 18 PLACAS,1,131.3,131.3,Vendedor 7,REPUESTOS
147,2023-01-24,Cliente 19,LA MOLINA,ACEITE DE MOTOR 5W30 FULL SINTÉTICO,8,100.3,802.4,Vendedor 1,REPUESTOS
148,2023-01-24,Cliente 5,LA MOLINA,"LLANTAS 18""",3,78.9,236.7,Vendedor 4,REPUESTOS
149,2023-01-24,Cliente 28,SURCO,BATERÍA DE 18 PLACAS,2,131.3,262.6,Vendedor 2,REPUESTOS
150,2023-01-25,Cliente 42,SURCO,ACEITE DE MOTOR 5W30 FULL SINTÉTICO,1,100.3,100.3,Vendedor 3,REPUESTOS
151,2023-01-25,Cliente 11,SURCO,"LLANTAS 18""",1,78.9,78.9,Vendedor 5,REPUESTOS
152,2023-01-25,Cliente 8,LA MOLINA,BATERÍA DE 18 PLACAS,2,131.3,262.6,Vendedor 8,REPUESTOS
153,2023-01-26,Cliente 45,LA MOLINA,ACEITE DE MOTOR 5W30 FULL SINTÉTICO,1,100.3,100.3,Vendedor 7,REPUESTOS
154,2023-01-26,Cliente 29,LA MOLINA,"LLANTAS 18""",5,78.9,394.5,Vendedor 2,REPUESTOS
155,2023-01-26,Cliente 48,LA MOLINA,BATERÍA DE 18 PLACAS,1,131.3,131.3,Vendedor 6,REPUESTOS
156,2023-01-27,Cliente 44,SURCO,"LLANTAS 18""",1,78.9,78.9,Vendedor 10,REPUESTOS
157,2023-01-27,Cliente 49,LA MOLINA,BATERÍA DE 18 PLACAS,3,131.3,393.9,Vendedor 5,REPUESTOS
158,2023-01-28,Cliente 18,LA MOLINA,"LLANTAS 18""",5,78.9,394.5,Vendedor 3,REPUESTOS
159,2023-01-28,Cliente 41,LA MOLINA,BATERÍA DE 18 PLACAS,3,131.3,393.9,Vendedor 8,REPUESTOS
160,2023-01-29,Cliente 21,LA MOLINA,"LLANTAS 18""",1,78.9,78.9,Vendedor 2,REPUESTOS
161,2023-01-29,Cliente 27,LA MOLINA,BATERÍA DE 18 PLACAS,1,131.3,131.3,Vendedor 8,REPUESTOS
162,2023-01-30,Cliente 21,SURCO,"LLANTAS 18""",3,78.9,236.7,Vendedor 5,REPUESTOS
163,2023-01-30,Cliente 50,LA MOLINA,BATERÍA DE 18 PLACAS,3,131.3,393.9,Vendedor 7,REPUESTOS
164,2023-01-31,Cliente 41,LA MOLINA,BATERÍA DE 18 PLACAS,5,131.3,656.5,Vendedor 8,REPUESTOS
165,2023-02-01,Cliente 14,LA MOLINA,AUTO HONDA ODISSEY 2013,1,27500.0,27500.0,Vendedor 5,AUTOS
166,2023-02-01,Cliente 19,SURCO,AUTO HONDA CRV 2014,1,27500.0,27500.0,Vendedor 8,AUTOS
167,2023-02-01,Cliente 8,LA MOLINA,AUTO HONDA CITY 2016,1,22500.0,22500.0,Vendedor 1,AUTOS
168,2023-02-01,Cliente 46,SURCO,CAMIONETA HONDA CROSSTOUR 2013,1,34000.0,34000.0,Vendedor 3,CAMIONETAS
169,2023-02-01,Cliente 36,SURCO,CAMIONETA HONDA CR-Z 2015,1,35500.0,35500.0,Vendedor 1,CAMIONETAS
170,2023-02-01,Cliente 6,SURCO,CAMIONETA HONDA RID LINE PICK UP 2014,1,47000.0,47000.0,Vendedor 4,CAMIONETAS
171,2023-02-01,Cliente 8,LA MOLINA,FILTRO DE COMBUSTIBLE,1,132.1,132.1,Vendedor 3,REPUESTOS
172,2023-02-02,Cliente 31,LA MOLINA,AUTO HONDA CRV 2014,1,27500.0,27500.0,Vendedor 4,AUTOS
173,2023-02-02,Cliente 36,LA MOLINA,AUTO HONDA CITY 2016,1,22500.0,22500.0,Vendedor 3,AUTOS
174,2023-02-02,Cliente 13,SURCO,CAMIONETA HONDA CROSSTOUR 2013,1,34000.0,34000.0,Vendedor 10,CAMIONETAS
175,2023-02-02,Cliente 5,SURCO,CAMIONETA HONDA CR-Z 2015,1,35500.0,35500.0,Vendedor 5,CAMIONETAS
176,2023-02-02,Cliente 22,SURCO,CAMIONETA HONDA RID LINE PICK UP 2014,1,47000.0,47000.0,Vendedor 9,CAMIONETAS
177,2023-02-02,Cliente 19,SURCO,FILTRO DE COMBUSTIBLE,1,132.1,132.1,Vendedor 5,REPUESTOS
178,2023-02-03,Cliente 22,SURCO,AUTO HONDA CRV 2014,1,27500.0,27500.0,Vendedor 9,AUTOS
179,2023-02-03,Cliente 30,SURCO,AUTO HONDA CITY 2016,1,22500.0,22500.0,Vendedor 6,AUTOS
180,2023-02-03,Cliente 37,SURCO,ACEITE DE MOTOR 5W30 FULL SINTÉTICO,2,102.9,205.8,Vendedor 7,REPUESTOS
181,2023-02-03,Cliente 50,SURCO,FILTRO DE COMBUSTIBLE,1,132.1,132.1,Vendedor 7,REPUESTOS
182,2023-02-03,Cliente 48,LA MOLINA,AMORTIGUADORES DELANTEROS,1,356.2,356.2,Vendedor 8,REPUESTOS
183,2023-02-03,Cliente 43,LA MOLINA,AMORTIGUADORES POSTERIORES,4,101.1,404.4,Vendedor 3,REPUESTOS
184,2023-02-03,Cliente 9,SURCO,"LLANTAS 18""",4,79.9,319.6,Vendedor 9,REPUESTOS
185,2023-02-03,Cliente 29,SURCO,BATERÍA DE 18 PLACAS,2,96.4,192.8,Vendedor 2,REPUESTOS
186,2023-02-04,Cliente 1,SURCO,AUTO HONDA CRV 2014,1,27500.0,27500.0,Vendedor 3,AUTOS
187,2023-02-04,Cliente 42,SURCO,AUTO HONDA CITY 2016,1,22500.0,22500.0,Vendedor 3,AUTOS
188,2023-02-04,Cliente 17,LA MOLINA,ACEITE DE MOTOR 5W30 FULL SINTÉTICO,1,102.9,102.9,Vendedor 6,REPUESTOS
189,2023-02-04,Cliente 42,LA MOLINA,FILTRO DE COMBUSTIBLE,1,132.1,132.1,Vendedor 2,REPUESTOS
190,2023-02-04,Cliente 21,LA MOLINA,AMORTIGUADORES DELANTEROS,3,356.2,1068.6,Vendedor 8,REPUESTOS
191,2023-02-04,Cliente 16,SURCO,AMORTIGUADORES POSTERIORES,1,101.1,101.1,Vendedor 5,REPUESTOS
192,2023-02-04,Cliente 28,SURCO,"LLANTAS 18""",2,79.9,159.8,Vendedor 2,REPUESTOS
193,2023-02-04,Cliente 11,LA MOLINA,BATERÍA DE 18 PLACAS,1,96.4,96.4,Vendedor 5,REPUESTOS
194,2023-02-05,Cliente 3,SURCO,AUTO HONDA CRV 2014,1,27500.0,27500.0,Vendedor 6,AUTOS
195,2023-02-05,Cliente 23,LA MOLINA,ACEITE DE MOTOR 5W30 FULL SINTÉTICO,1,102.9,102.9,Vendedor 6,REPUESTOS
196,2023-02-05,Cliente 10,LA MOLINA,FILTRO DE COMBUSTIBLE,1,132.1,132.1,Vendedor 4,REPUESTOS
197,2023-02-05,Cliente 11,SURCO,AMORTIGUADORES DELANTEROS,4,356.2,1424.8,Vendedor 3,REPUESTOS
198,2023-02-05,Cliente 40,LA MOLINA,AMORTIGUADORES POSTERIORES,1,101.1,101.1,Vendedor 4,REPUESTOS
199,2023-02-05,Cliente 15,SURCO,"LLANTAS 18""",4,79.9,319.6,Vendedor 8,REPUESTOS
200,2023-02-05,Cliente 17,LA MOLINA,BATERÍA DE 18 PLACAS,2,96.4,192.8,Vendedor 1,REPUESTOS
201,2023-02-06,Cliente 44,LA MOLINA,ACEITE DE MOTOR 5W30 FULL SINTÉTICO,4,102.9,411.6,Vendedor 9,REPUESTOS
202,2023-02-06,Cliente 5,SURCO,FILTRO DE COMBUSTIBLE,1,132.1,132.1,Vendedor 8,REPUESTOS
203,2023-02-06,Cliente 41,LA MOLINA,AMORTIGUADORES DELANTEROS,3,356.2,1068.6,Vendedor 7,REPUESTOS
204,2023-02-06,Cliente 20,LA MOLINA,AMORTIGUADORES POSTERIORES,3,101.1,303.3,Vendedor 4,REPUESTOS
205,2023-02-06,Cliente 7,LA MOLINA,"LLANTAS 18""",4,79.9,319.6,Vendedor 4,REPUESTOS
206,2023-02-06,Cliente 37,LA MOLINA,BATERÍA DE 18 PLACAS,2,96.4,192.8,Vendedor 5,REPUESTOS
