Fecha,Tipo,Almacen,ID_Producto,Producto,Cantidad_Stock,Entidad,TIPO_PRODUCTO
2023-01-02,Salida,SURCO,43,BATERÍA 18 PLC,15,Cliente 23,REPUESTOS
2023-01-03,Salida,SURCO,1,ACCORD,1,Cliente 40,AUTOS
2023-01-03,Salida,SURCO,2,CIVIC,1,Cliente 11,AUTOS
2023-01-03,Salida,LA MOLINA,4,CRV,1,Cliente 2,AUTOS
2023-01-03,Salida,LA MOLINA,5,PILOT,0,Cliente 27,AUTOS
2023-01-03,Salida,LA MOLINA,8,ELEMENT,0,Cliente 11,CAMIONETAS
2023-01-03,Salida,SURCO,10,CR-Z,2,Cliente 3,CAMIONETAS
2023-01-03,Salida,SURCO,38,ACEITE FS 5W30,8,Cliente 30,REPUESTOS
2023-01-03,Salida,LA MOLINA,39,FILTRO COMBUST,37,Cliente 15,REPUESTOS
2023-01-03,Salida,SURCO,40,AMORT DEL,16,Cliente 26,REPUESTOS
2023-01-03,Salida,SURCO,41,AMORT POS,6,Cliente 50,REPUESTOS
2023-01-03,Salida,LA MOLINA,42,"LLANTAS 18""",33,Cliente 44,REPUESTOS
2023-01-03,Salida,LA MOLINA,43,BATERÍA 18 PLC,33,Cliente 2,REPUESTOS
2023-01-04,Salida,SURCO,1,ACCORD,0,Cliente 12,AUTOS
2023-01-04,Salida,SURCO,2,CIVIC,0,Cliente 3,AUTOS
2023-01-04,Salida,LA MOLINA,38,ACEITE FS 5W30,39,Cliente 47,REPUESTOS
2023-01-04,Salida,LA MOLINA,39,FILTRO COMBUST,36,Cliente 39,REPUESTOS
2023-01-04,Salida,LA MOLINA,40,AMORT DEL,22,Cliente 37,REPUESTOS
2023-01-04,Salida,SURCO,41,AMORT POS,3,Cliente 46,REPUESTOS
2023-01-04,Salida,SURCO,42,"LLANTAS 18""",6,Cliente 24,REPUESTOS
2023-01-04,Salida,SURCO,43,BATERÍA 18 PLC,14,Cliente 43,REPUESTOS
2023-01-05,Salida,SURCO,38,ACEITE FS 5W30,5,Cliente 47,REPUESTOS
2023-01-05,Salida,LA MOLINA,39,FILTRO COMBUST,35,Cliente 43,REPUESTOS
2023-01-05,Salida,LA MOLINA,40,AMORT DEL,20,Cliente 45,REPUESTOS
2023-01-05,Salida,SURCO,41,AMORT POS,1,Cliente 27,REPUESTOS
2023-01-05,Salida,LA MOLINA,42,"LLANTAS 18""",32,Cliente 26,REPUESTOS
2023-01-05,Salida,SURCO,43,BATERÍA 18 PLC,13,Cliente 20,REPUESTOS
2023-01-06,Salida,LA MOLINA,38,ACEITE FS 5W30,37,Cliente 38,REPUESTOS
2023-01-06,Salida,LA MOLINA,39,FILTRO COMBUST,34,Cliente 30,REPUESTOS
2023-01-06,Salida,SURCO,40,AMORT DEL,14,Cliente 33,REPUESTOS
2023-01-06,Salida,SURCO,41,AMORT POS,0,Cliente 19,REPUESTOS
2023-01-06,Salida,SURCO,42,"LLANTAS 18""",4,Cliente 49,REPUESTOS
2023-01-06,Salida,LA MOLINA,43,BATERÍA 18 PLC,32,Cliente 15,REPUESTOS
2023-01-07,Salida,SURCO,38,ACEITE FS 5W30,3,Cliente 3,REPUESTOS
2023-01-07,Salida,SURCO,40,AMORT DEL,12,Cliente 30,REPUESTOS
2023-01-07,Salida,LA MOLINA,41,AMORT POS,33,Cliente 32,REPUESTOS
2023-01-07,Salida,SURCO,42,"LLANTAS 18""",3,Cliente 42,REPUESTOS
2023-01-07,Salida,SURCO,43,BATERÍA 18 PLC,12,Cliente 50,REPUESTOS
2023-01-08,Salida,SURCO,38,ACEITE FS 5W30,1,Cliente 45,REPUESTOS
2023-01-08,Salida,SURCO,40,AMORT DEL,10,Cliente 36,REPUESTOS
2023-01-08,Salida,LA MOLINA,41,AMORT POS,32,Cliente 9,REPUESTOS
2023-01-08,Salida,LA MOLINA,42,"LLANTAS 18""",30,Cliente 40,REPUESTOS
2023-01-08,Salida,LA MOLINA,43,BATERÍA 18 PLC,31,Cliente 36,REPUESTOS
2023-01-09,Salida,LA MOLINA,38,ACEITE FS 5W30,35,Cliente 29,REPUESTOS
2023-01-09,Salida,LA MOLINA,40,AMORT DEL,19,Cliente 50,REPUESTOS
2023-01-09,Salida,LA MOLINA,41,AMORT POS,28,Cliente 18,REPUESTOS
2023-01-09,Salida,LA MOLINA,42,"LLANTAS 18""",29,Cliente 16,REPUESTOS
2023-01-09,Salida,LA MOLINA,43,BATERÍA 18 PLC,30,Cliente 21,REPUESTOS
2023-01-10,Salida,SURCO,38,ACEITE FS 5W30,0,Cliente 10,REPUESTOS
2023-01-10,Salida,SURCO,40,AMORT DEL,8,Cliente 46,REPUESTOS
2023-01-10,Salida,LA MOLINA,41,AMORT POS,27,Cliente 27,REPUESTOS
2023-01-10,Salida,LA MOLINA,42,"LLANTAS 18""",27,Cliente 4,REPUESTOS
2023-01-10,Salida,LA MOLINA,43,BATERÍA 18 PLC,29,Cliente 25,REPUESTOS
2023-01-11,Salida,LA MOLINA,38,ACEITE FS 5W30,34,Cliente 31,REPUESTOS
2023-01-11,Salida,LA MOLINA,40,AMORT DEL,17,Cliente 49,REPUESTOS
2023-01-11,Salida,LA MOLINA,41,AMORT POS,23,Cliente 32,REPUESTOS
2023-01-11,Salida,LA MOLINA,42,"LLANTAS 18""",25,Cliente 32,REPUESTOS
2023-01-11,Salida,LA MOLINA,43,BATERÍA 18 PLC,27,Cliente 43,REPUESTOS
2023-01-12,Salida,LA MOLINA,38,ACEITE FS 5W30,32,Cliente 9,REPUESTOS
2023-01-12,Salida,SURCO,40,AMORT DEL,5,Cliente 26,REPUESTOS
2023-01-12,Salida,LA MOLINA,41,AMORT POS,22,Cliente 42,REPUESTOS
2023-01-12,Salida,LA MOLINA,42,"LLANTAS 18""",24,Cliente 12,REPUESTOS
2023-01-12,Salida,LA MOLINA,43,BATERÍA 18 PLC,25,Cliente 21,REPUESTOS
2023-01-13,Salida,LA MOLINA,38,ACEITE FS 5W30,28,Cliente 22,REPUESTOS
2023-01-13,Salida,LA MOLINA,40,AMORT DEL,15,Cliente 17,REPUESTOS
2023-01-13,Salida,LA MOLINA,41,AMORT POS,18,Cliente 48,REPUESTOS
2023-01-13,Salida,LA MOLINA,42,"LLANTAS 18""",23,Cliente 15,REPUESTOS
2023-01-13,Salida,SURCO,43,BATERÍA 18 PLC,11,Cliente 16,REPUESTOS
2023-01-14,Salida,LA MOLINA,38,ACEITE FS 5W30,27,Cliente 16,REPUESTOS
2023-01-14,Salida,SURCO,40,AMORT DEL,3,Cliente 37,REPUESTOS
2023-01-14,Salida,LA MOLINA,41,AMORT POS,14,Cliente 50,REPUESTOS
2023-01-14,Salida,SURCO,42,"LLANTAS 18""",2,Cliente 50,REPUESTOS
2023-01-14,Salida,SURCO,43,BATERÍA 18 PLC,9,Cliente 38,REPUESTOS
2023-01-14,Control,SURCO,1,ACCORD,0,,AUTOS
2023-01-14,Control,SURCO,2,CIVIC,0,,AUTOS
2023-01-14,Control,SURCO,3,ODISSEY,0,,AUTOS
2023-01-14,Control,SURCO,4,CRV,4,,AUTOS
2023-01-14,Control,SURCO,5,PILOT,0,,AUTOS
2023-01-14,Control,SURCO,6,FIT,0,,AUTOS
2023-01-14,Control,SURCO,7,CITY,2,,AUTOS
2023-01-14,Control,SURCO,8,ELEMENT,0,,CAMIONETAS
2023-01-14,Control,SURCO,9,CROSSTOUR,4,,CAMIONETAS
2023-01-14,Control,SURCO,10,CR-Z,2,,CAMIONETAS
2023-01-14,Control,SURCO,11,RID LINE,2,,CAMIONETAS
2023-01-14,Control,SURCO,38,ACEITE FS 5W30,0,,REPUESTOS
2023-01-14,Control,SURCO,39,FILTRO COMBUST,14,,REPUESTOS
2023-01-14,Control,SURCO,40,AMORT DEL,3,,REPUESTOS
2023-01-14,Control,SURCO,41,AMORT POS,0,,REPUESTOS
2023-01-14,Control,SURCO,42,"LLANTAS 18""",2,,REPUESTOS
2023-01-14,Control,SURCO,43,BATERÍA 18 PLC,9,,REPUESTOS
2023-01-14,Control,LA MOLINA,1,ACCORD,0,,AUTOS
2023-01-14,Control,LA MOLINA,2,CIVIC,0,,AUTOS
2023-01-14,Control,LA MOLINA,3,ODISSEY,1,,AUTOS
2023-01-14,Control,LA MOLINA,4,CRV,1,,AUTOS
2023-01-14,Control,LA MOLINA,5,PILOT,0,,AUTOS
2023-01-14,Control,LA MOLINA,6,FIT,0,,AUTOS
2023-01-14,Control,LA MOLINA,7,CITY,2,,AUTOS
2023-01-14,Control,LA MOLINA,8,ELEMENT,0,,CAMIONETAS
2023-01-14,Control,LA MOLINA,9,CROSSTOUR,0,,CAMIONETAS
2023-01-14,Control,LA MOLINA,10,CR-Z,0,,CAMIONETAS
2023-01-14,Control,LA MOLINA,11,RID LINE,0,,CAMIONETAS
2023-01-14,Control,LA MOLINA,38,ACEITE FS 5W30,27,,REPUESTOS
2023-01-14,Control,LA MOLINA,39,FILTRO COMBUST,34,,REPUESTOS
2023-01-14,Control,LA MOLINA,40,AMORT DEL,15,,REPUESTOS
2023-01-14,Control,LA MOLINA,41,AMORT POS,14,,REPUESTOS
2023-01-14,Control,LA MOLINA,42,"LLANTAS 18""",23,,REPUESTOS
2023-01-14,Control,LA MOLINA,43,BATERÍA 18 PLC,25,,REPUESTOS
2023-01-15,Salida,LA MOLINA,38,ACEITE FS 5W30,24,Cliente 26,REPUESTOS
2023-01-15,Salida,SURCO,40,AMORT DEL,2,Cliente 7,REPUESTOS
2023-01-15,Salida,LA MOLINA,41,AMORT POS,9,Cliente 37,REPUESTOS
2023-01-15,Salida,LA MOLINA,42,"LLANTAS 18""",21,Cliente 43,REPUESTOS
2023-01-15,Salida,LA MOLINA,43,BATERÍA 18 PLC,24,Cliente 1,REPUESTOS
2023-01-16,Salida,LA MOLINA,38,ACEITE FS 5W30,20,Cliente 28,REPUESTOS
2023-01-16,Salida,SURCO,40,AMORT DEL,0,Cliente 28,REPUESTOS
2023-01-16,Salida,LA MOLINA,41,AMORT POS,4,Cliente 40,REPUESTOS
2023-01-16,Salida,LA MOLINA,42,"LLANTAS 18""",19,Cliente 28,REPUESTOS
2023-01-16,Salida,LA MOLINA,43,BATERÍA 18 PLC,22,Cliente 16,REPUESTOS
2023-01-17,Entrada,SURCO,38,ACEITE FS 5W30,10,Prov Repuestos,REPUESTOS
2023-01-17,Entrada,SURCO,40,AMORT DEL,7,Prov Repuestos,REPUESTOS
2023-01-17,Entrada,SURCO,41,AMORT POS,10,Prov Repuestos,REPUESTOS
2023-01-17,Entrada,SURCO,42,"LLANTAS 18""",10,Prov Repuestos,REPUESTOS
2023-01-17,Salida,LA MOLINA,38,ACEITE FS 5W30,17,Cliente 16,REPUESTOS
2023-01-17,Salida,LA MOLINA,40,AMORT DEL,11,Cliente 2,REPUESTOS
2023-01-17,Salida,SURCO,41,AMORT POS,7,Cliente 32,REPUESTOS
2023-01-17,Salida,LA MOLINA,42,"LLANTAS 18""",17,Cliente 22,REPUESTOS
2023-01-17,Salida,SURCO,43,BATERÍA 18 PLC,7,Cliente 34,REPUESTOS
2023-01-18,Salida,SURCO,38,ACEITE FS 5W30,9,Cliente 47,REPUESTOS
2023-01-18,Salida,SURCO,40,AMORT DEL,3,Cliente 45,REPUESTOS
2023-01-18,Salida,LA MOLINA,41,AMORT POS,0,Cliente 2,REPUESTOS
2023-01-18,Salida,SURCO,42,"LLANTAS 18""",8,Cliente 26,REPUESTOS
2023-01-18,Salida,LA MOLINA,43,BATERÍA 18 PLC,20,Cliente 31,REPUESTOS
2023-01-19,Salida,LA MOLINA,38,ACEITE FS 5W30,12,Cliente 28,REPUESTOS
2023-01-19,Salida,LA MOLINA,40,AMORT DEL,8,Cliente 45,REPUESTOS
2023-01-19,Salida,SURCO,41,AMORT POS,4,Cliente 17,REPUESTOS
2023-01-19,Salida,SURCO,42,"LLANTAS 18""",7,Cliente 21,REPUESTOS
2023-01-19,Salida,SURCO,43,BATERÍA 18 PLC,6,Cliente 14,REPUESTOS
2023-01-20,Salida,LA MOLINA,38,ACEITE FS 5W30,9,Cliente 7,REPUESTOS
2023-01-20,Salida,SURCO,40,AMORT DEL,0,Cliente 24,REPUESTOS
2023-01-20,Salida,SURCO,41,AMORT POS,1,Cliente 46,REPUESTOS
2023-01-20,Salida,LA MOLINA,42,"LLANTAS 18""",16,Cliente 3,REPUESTOS
2023-01-20,Salida,SURCO,43,BATERÍA 18 PLC,4,Cliente 41,REPUESTOS
2023-01-21,Salida,SURCO,38,ACEITE FS 5W30,7,Cliente 37,REPUESTOS
2023-01-21,Salida,LA MOLINA,40,AMORT DEL,4,Cliente 29,REPUESTOS
2023-01-21,Salida,SURCO,41,AMORT POS,0,Cliente 17,REPUESTOS
2023-01-21,Salida,SURCO,42,"LLANTAS 18""",6,Cliente 26,REPUESTOS
2023-01-21,Salida,SURCO,43,BATERÍA 18 PLC,3,Cliente 10,REPUESTOS
2023-01-22,Salida,SURCO,38,ACEITE FS 5W30,2,Cliente 16,REPUESTOS
2023-01-22,Salida,LA MOLINA,40,AMORT DEL,0,Cliente 50,REPUESTOS
2023-01-22,Salida,LA MOLINA,42,"LLANTAS 18""",14,Cliente 20,REPUESTOS
2023-01-22,Salida,LA MOLINA,43,BATERÍA 18 PLC,18,Cliente 37,REPUESTOS
2023-01-23,Salida,SURCO,38,ACEITE FS 5W30,1,Cliente 49,REPUESTOS
2023-01-23,Salida,SURCO,42,"LLANTAS 18""",5,Cliente 16,REPUESTOS
2023-01-23,Salida,SURCO,43,BATERÍA 18 PLC,2,Cliente 1,REPUESTOS
2023-01-24,Salida,LA MOLINA,38,ACEITE FS 5W30,1,Cliente 19,REPUESTOS
2023-01-24,Salida,LA MOLINA,42,"LLANTAS 18""",11,Cliente 5,REPUESTOS
2023-01-24,Salida,SURCO,43,BATERÍA 18 PLC,0,Cliente 28,REPUESTOS
2023-01-25,Salida,SURCO,38,ACEITE FS 5W30,0,Cliente 42,REPUESTOS
2023-01-25,Salida,SURCO,42,"LLANTAS 18""",4,Cliente 11,REPUESTOS
2023-01-25,Salida,LA MOLINA,43,BATERÍA 18 PLC,16,Cliente 8,REPUESTOS
2023-01-26,Salida,LA MOLINA,38,ACEITE FS 5W30,0,Cliente 45,REPUESTOS
2023-01-26,Salida,LA MOLINA,42,"LLANTAS 18""",6,Cliente 29,REPUESTOS
2023-01-26,Salida,LA MOLINA,43,BATERÍA 18 PLC,15,Cliente 48,REPUESTOS
2023-01-27,Salida,SURCO,42,"LLANTAS 18""",3,Cliente 44,REPUESTOS
2023-01-27,Salida,LA MOLINA,43,BATERÍA 18 PLC,12,Cliente 49,REPUESTOS
2023-01-28,Salida,LA MOLINA,42,"LLANTAS 18""",1,Cliente 18,REPUESTOS
2023-01-28,Salida,LA MOLINA,43,BATERÍA 18 PLC,9,Cliente 41,REPUESTOS
2023-01-29,Salida,LA MOLINA,42,"LLANTAS 18""",0,Cliente 21,REPUESTOS
2023-01-29,Salida,LA MOLINA,43,BATERÍA 18 PLC,8,Cliente 27,REPUESTOS
2023-01-30,Salida,SURCO,42,"LLANTAS 18""",0,Cliente 21,REPUESTOS
2023-01-30,Salida,LA MOLINA,43,BATERÍA 18 PLC,5,Cliente 50,REPUESTOS
2023-01-31,Salida,LA MOLINA,43,BATERÍA 18 PLC,0,Cliente 41,REPUESTOS
2023-01-31,Control,SURCO,1,ACCORD,0,,AUTOS
2023-01-31,Control,SURCO,2,CIVIC,0,,AUTOS
2023-01-31,Control,SURCO,3,ODISSEY,0,,AUTOS
2023-01-31,Control,SURCO,4,CRV,4,,AUTOS
2023-01-31,Control,SURCO,5,PILOT,0,,AUTOS
2023-01-31,Control,SURCO,6,FIT,0,,AUTOS
2023-01-31,Control,SURCO,7,CITY,2,,AUTOS
2023-01-31,Control,SURCO,8,ELEMENT,0,,CAMIONETAS
2023-01-31,Control,SURCO,9,CROSSTOUR,4,,CAMIONETAS
2023-01-31,Control,SURCO,10,CR-Z,2,,CAMIONETAS
2023-01-31,Control,SURCO,11,RID LINE,2,,CAMIONETAS
2023-01-31,Control,SURCO,38,ACEITE FS 5W30,0,,REPUESTOS
2023-01-31,Control,SURCO,39,FILTRO COMBUST,14,,REPUESTOS
2023-01-31,Control,SURCO,40,AMORT DEL,0,,REPUESTOS
2023-01-31,Control,SURCO,41,AMORT POS,0,,REPUESTOS
2023-01-31,Control,SURCO,42,"LLANTAS 18""",0,,REPUESTOS
2023-01-31,Control,SURCO,43,BATERÍA 18 PLC,0,,REPUESTOS
2023-01-31,Control,LA MOLINA,1,ACCORD,0,,AUTOS
2023-01-31,Control,LA MOLINA,2,CIVIC,0,,AUTOS
2023-01-31,Control,LA MOLINA,3,ODISSEY,1,,AUTOS
2023-01-31,Control,LA MOLINA,4,CRV,1,,AUTOS
2023-01-31,Control,LA MOLINA,5,PILOT,0,,AUTOS
2023-01-31,Control,LA MOLINA,6,FIT,0,,AUTOS
2023-01-31,Control,LA MOLINA,7,CITY,2,,AUTOS
2023-01-31,Control,LA MOLINA,8,ELEMENT,0,,CAMIONETAS
2023-01-31,Control,LA MOLINA,9,CROSSTOUR,0,,CAMIONETAS
2023-01-31,Control,LA MOLINA,10,CR-Z,0,,CAMIONETAS
2023-01-31,Control,LA MOLINA,11,RID LINE,0,,CAMIONETAS
2023-01-31,Control,LA MOLINA,38,ACEITE FS 5W30,0,,REPUESTOS
2023-01-31,Control,LA MOLINA,39,FILTRO COMBUST,34,,REPUESTOS
2023-01-31,Control,LA MOLINA,40,AMORT DEL,0,,REPUESTOS
2023-01-31,Control,LA MOLINA,41,AMORT POS,0,,REPUESTOS
2023-01-31,Control,LA MOLINA,42,"LLANTAS 18""",0,,REPUESTOS
2023-01-31,Control,LA MOLINA,43,BATERÍA 18 PLC,0,,REPUESTOS
2023-02-01,Salida,LA MOLINA,3,ODISSEY,0,Cliente 14,AUTOS
2023-02-01,Salida,SURCO,4,CRV,3,Cliente 19,AUTOS
2023-02-01,Salida,LA MOLINA,7,CITY,1,Cliente 8,AUTOS
2023-02-01,Salida,SURCO,9,CROSSTOUR,3,Cliente 46,CAMIONETAS
2023-02-01,Salida,SURCO,10,CR-Z,1,Cliente 36,CAMIONETAS
2023-02-01,Salida,SURCO,11,RID LINE,1,Cliente 6,CAMIONETAS
2023-02-01,Salida,LA MOLINA,39,FILTRO COMBUST,33,Cliente 8,REPUESTOS
2023-02-02,Salida,LA MOLINA,4,CRV,0,Cliente 31,AUTOS
2023-02-02,Salida,LA MOLINA,7,CITY,0,Cliente 36,AUTOS
2023-02-02,Salida,SURCO,9,CROSSTOUR,2,Cliente 13,CAMIONETAS
2023-02-02,Salida,SURCO,10,CR-Z,0,Cliente 5,CAMIONETAS
2023-02-02,Salida,SURCO,11,RID LINE,0,Cliente 22,CAMIONETAS
2023-02-02,Salida,SURCO,39,FILTRO COMBUST,13,Cliente 19,REPUESTOS
2023-02-03,Entrada,SURCO,38,ACEITE FS 5W30,10,Prov Repuestos,REPUESTOS
2023-02-03,Entrada,SURCO,40,AMORT DEL,10,Prov Repuestos,REPUESTOS
2023-02-03,Entrada,SURCO,41,AMORT POS,10,Prov Repuestos,REPUESTOS
2023-02-03,Entrada,SURCO,42,"LLANTAS 18""",10,Prov Repuestos,REPUESTOS
2023-02-03,Entrada,SURCO,43,BATERÍA 18 PLC,5,Prov Repuestos,REPUESTOS
2023-02-03,Entrada,LA MOLINA,38,ACEITE FS 5W30,10,Prov Repuestos,REPUESTOS
2023-02-03,Entrada,LA MOLINA,40,AMORT DEL,10,Prov Repuestos,REPUESTOS
2023-02-03,Entrada,LA MOLINA,41,AMORT POS,10,Prov Repuestos,REPUESTOS
2023-02-03,Entrada,LA MOLINA,42,"LLANTAS 18""",10,Prov Repuestos,REPUESTOS
2023-02-03,Entrada,LA MOLINA,43,BATERÍA 18 PLC,5,Prov Repuestos,REPUESTOS
2023-02-03,Salida,SURCO,4,CRV,2,Cliente 22,AUTOS
2023-02-03,Salida,SURCO,7,CITY,1,Cliente 30,AUTOS
2023-02-03,Salida,SURCO,38,ACEITE FS 5W30,8,Cliente 37,REPUESTOS
2023-02-03,Salida,SURCO,39,FILTRO COMBUST,12,Cliente 50,REPUESTOS
2023-02-03,Salida,LA MOLINA,40,AMORT DEL,9,Cliente 48,REPUESTOS
2023-02-03,Salida,LA MOLINA,41,AMORT POS,6,Cliente 43,REPUESTOS
2023-02-03,Salida,SURCO,42,"LLANTAS 18""",6,Cliente 9,REPUESTOS
2023-02-03,Salida,SURCO,43,BATERÍA 18 PLC,3,Cliente 29,REPUESTOS
2023-02-04,Salida,SURCO,4,CRV,1,Cliente 1,AUTOS
2023-02-04,Salida,SURCO,7,CITY,0,Cliente 42,AUTOS
2023-02-04,Salida,LA MOLINA,38,ACEITE FS 5W30,9,Cliente 17,REPUESTOS
2023-02-04,Salida,LA MOLINA,39,FILTRO COMBUST,32,Cliente 42,REPUESTOS
2023-02-04,Salida,LA MOLINA,40,AMORT DEL,6,Cliente 21,REPUESTOS
2023-02-04,Salida,SURCO,41,AMORT POS,9,Cliente 16,REPUESTOS
2023-02-04,Salida,SURCO,42,"LLANTAS 18""",4,Cliente 28,REPUESTOS
2023-02-04,Salida,LA MOLINA,43,BATERÍA 18 PLC,4,Cliente 11,REPUESTOS
2023-02-05,Salida,SURCO,4,CRV,0,Cliente 3,AUTOS
2023-02-05,Salida,LA MOLINA,38,ACEITE FS 5W30,8,Cliente 23,REPUESTOS
2023-02-05,Salida,LA MOLINA,39,FILTRO COMBUST,31,Cliente 10,REPUESTOS
2023-02-05,Salida,SURCO,40,AMORT DEL,6,Cliente 11,REPUESTOS
2023-02-05,Salida,LA MOLINA,41,AMORT POS,5,Cliente 40,REPUESTOS
2023-02-05,Salida,SURCO,42,"LLANTAS 18""",0,Cliente 15,REPUESTOS
2023-02-05,Salida,LA MOLINA,43,BATERÍA 18 PLC,2,Cliente 17,REPUESTOS
2023-02-06,Salida,LA MOLINA,38,ACEITE FS 5W30,4,Cliente 44,REPUESTOS
2023-02-06,Salida,SURCO,39,FILTRO COMBUST,11,Cliente 5,REPUESTOS
2023-02-06,Salida,LA MOLINA,40,AMORT DEL,3,Cliente 41,REPUESTOS
2023-02-06,Salida,LA MOLINA,41,AMORT POS,2,Cliente 20,REPUESTOS
2023-02-06,Salida,LA MOLINA,42,"LLANTAS 18""",6,Cliente 7,REPUESTOS
2023-02-06,Salida,LA MOLINA,43,BATERÍA 18 PLC,0,Cliente 37,REPUESTOS
